,cluster,distance,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
2441,2,0.6325974603610774,right,Other,person,base,spatial motion,rally,"The verb 'rally' is used metaphorically to describe the action of mobilizing or energizing Trump's political supporters ('his base'), rather than referring to a physical gathering. The metaphorical use transcends the literal meaning of assembling people in a physical space, instead conveying the idea of uniting or activating a group for a political purpose.",'We ARE against scapegoating immigrants and brown people by Trump to rally his base.'
1847,2,0.660606674002813,right,Immigrant Families,person,parents,force,unite,"The verb 'unite' is used metaphorically to describe the process of bringing together immigrant parents and kids, implying a systemic or social action rather than a literal physical action. The metaphor transcends the verb's original meaning by suggesting the reuniting of families, which may involve legal, emotional, or societal contexts rather than direct physical contact.","'They can’t seem to find &amp; unite immigrant parents &amp; kids, can’t keep kids alive, but somehow we’re to believe their terrorists vetting process has validity.'"
954,2,0.7015950262294953,right,Citizens,person,us,other,Join,"The verb 'Join' is used metaphorically to characterize the target noun 'us' by inviting participation in a collective action (supporting the movement). It transcends the literal physical action of joining a group, instead implying conceptual inclusion in a cause, which is a metaphorical use of the verb.",'A citizenship question will: - Under-count undocumented communities &amp; people of color - Risk access to social services - Impact our representation &amp; people power  Join us today to say #CountMeIn!'
1931,2,0.7252585496179392,right,Political Rhetoric and Partisan Debate,thing,loyalty,other,conflating,"The verb 'conflating' is used metaphorically here. It describes the abstract mental process of combining 'loyalty' and 'patriotism' as if they were distinct entities being merged, which transcends its literal meaning of physically merging things. The verb represents a conceptual equivalence rather than a physical action, attributing a cognitive process to the target noun 'loyalty'.","'Where have we seen this act before: Demonizing  others, conflating loyalty with patriotism, purging dissenter, “purifying” by eliminating immigrants, demanding fealty to the leader, neutering Press &amp; other institutions.'"
2736,2,0.727975178252649,right,Republican Party,organization,army,other,trumps,"The verb 'trumps' is used metaphorically to denote a powerful, organized group (likely referring to Trump's political supporters or base) rather than a literal military force. The phrase 'trumps army' personifies an abstract collective as a military entity, transcending the verb's literal meaning of surpassing in competition.",'Women if America stand between these migrant families and trumps army with their guns.'
672,2,0.7318683552523046,left,Democratic Party,organization,Democrats,other,embracing,"The verb 'embracing' is used metaphorically to characterize 'Democrats' as representing support or acceptance. The source verb 'embrace' transcends its physical meaning to convey ideological alignment or endorsement, implying that the illegal aliens are supporting Democrats' actions, rather than describing a literal physical action.",'When will you be protesting against the illegal alien embracing Democrats who are fighting against protecting American citizens?'
574,2,0.7397812560681926,left,Other,person,you,spatial motion,stick,"The verb 'stick' is used metaphorically to describe the abstract concept of unity or solidarity among people. Literally, 'stick' refers to physical attachment, but here it conveys the idea of staying together as a group, transcending its original meaning to characterize the target noun 'you' as part of a collective action.",'The ppl can do something if you all stick together!'
252,2,0.7556264923075602,right,Political Rhetoric and Partisan Debate,thing,tendencies,other,combine,"The verb 'combine' is used metaphorically to describe how abstract political tendencies are merged, transcending its literal physical action. Tendencies are not tangible entities, yet 'combine' is applied to them, implying a conceptual mixing rather than a physical process.","'The rising political tendencies combine lavish spending from the left with racially charged immigrant restrictions from the right.""'"
2731,2,0.7962583595298965,right,Border Control and Security,thing,military,other,trumps,"The verb 'trumps' is used metaphorically to characterize 'military' by implying an action of surpassing or overriding, which transcends its literal meaning of defeating in a competition. Here, 'trumps military' suggests the military's authority or power is being metaphorically 'trumped' (overcome) in a non-physical context, rather than describing a direct physical action.",'Don’t allow trumps military to shoot down unarmed families that have come seeking asylum.'
906,3,0.37554877682184445,left,Undocumented Immigrants,person,Aliens,spatial motion,Turn,"The verb 'turn' is used metaphorically to describe the action of 'turning oneself in,' which refers to surrendering or submitting to authorities. This transcends the literal physical action of rotating and instead conveys a figurative meaning related to compliance or capitulation, personifying the aliens' action of surrender.",'They're not stopping unless we do Border Security and a wall sad for them &amp; sad for us Great for smugglers $$$$$$   Report: Nearly 250 Illegal Aliens Turn Themselves In to Border Patrol in N.M. After Dire Smuggling Operation    via'
905,3,0.4027059040170754,left,Undocumented Immigrants,person,Themselves,spatial motion,Turn,"The verb 'turn' is used metaphorically to describe the act of surrendering or handing oneself over to authorities. The physical action of 'turning' is not directly involved; instead, it symbolizes the conceptual act of 'turning oneself in' as a metaphor for surrender, which transcends the literal meaning of the verb.",'They're not stopping unless we do Border Security and a wall sad for them &amp; sad for us Great for smugglers $$$$$$   Report: Nearly 250 Illegal Aliens Turn Themselves In to Border Patrol in N.M. After Dire Smuggling Operation    via'
162,3,0.41449419025994155,left,Undocumented Immigrants,person,illegals,spatial motion,turn,"The verb 'turn' is used metaphorically to describe the action of converting or transforming 'illegals' into something else, which transcends its literal physical action of rotating. The context implies a conceptual transformation rather than a direct physical act.","'i still don't buy illegals turn illegals in if we leave them alone , if that were the case they'd all be gone, now would they not?'"
1876,3,0.43206295059283595,right,Immigrants,person,who,spatial motion,turned,"The verb 'turned' is used metaphorically to describe the action of abandoning or betraying 'his fellow people' for financial gain. Literally, 'turned' refers to a physical movement, but here it conveys a figurative act of moral or emotional withdrawal, personifying the target noun's action as a deliberate choice to forsake others.",'Remember him come 2020 Susan Collins ( who sold her vote to this highest bidder for Brett (rapey) vote on the supreme court  Marco Rubio (immigrant decendent who turned his back for money on his fellow people)'
2917,3,0.4397109881848802,left,United States,place,COUNTRY,spatial motion,TURNED,"The verb 'TURNED' is used metaphorically to describe the country being 'turned inside out,' which signifies a conceptual reversal or upheaval rather than a literal physical action. The phrase employs a physical verb to metaphorically convey a state of being thoroughly disrupted or inverted, transcending its literal meaning of rotation.",'WE PATRIOTS REFUSE TO ALLOW OUR COUNTRY TO BE TURNED INSIDE OUT WE WILL RISE TO DEFEND WILL NOT BE PUSHED'
1446,3,0.4704035151389547,right,United States,place,America,spatial motion,turn,"The verb 'turn' is used metaphorically to describe the transformation of 'America' into a socialist nation. The source verb 'turn' (originally meaning to rotate physically) is applied to a country, implying a figurative 'change in direction' or 'conversion' rather than a literal physical action. This usage transcends its literal meaning to convey a conceptual shift in political ideology.",'Democrats are conspiring to turn America into a socialist nation in order to better control the population.'
2907,3,0.4791321841934649,left,Undocumented Immigrants,person,them,spatial motion,Turn,"The verb 'turn' is used metaphorically to describe the action of denying entry or excluding 'them' from a physical space (the border). While 'turn' can have a literal meaning involving physical movement, in this context, it represents an abstract administrative action (denying entry) without directly referring to a physical act. The metaphorical use here transcends the literal meaning of 'turn' to convey the idea of rejecting or expelling individuals.",'Turn them away at the border &amp; deport all illegals'
1872,3,0.5128573429232667,right,Political Rhetoric and Partisan Debate,thing,back,spatial motion,turned,"The verb 'turned' is used metaphorically to describe the action of abandoning or betraying 'his fellow people' for personal gain. The phrase 'turned his back' is a common metaphorical expression signifying desertion or rejection, rather than a literal physical action.",'Remember him come 2020 Susan Collins ( who sold her vote to this highest bidder for Brett (rapey) vote on the supreme court  Marco Rubio (immigrant decendent who turned his back for money on his fellow people)'
255,3,0.5133179959127464,left,Anti-Immigration Sentiment,thing,millions,spatial motion,turning,"The verb 'turning' is used metaphorically to describe the transformation of 'millions of migrants' into 'UN citizens with rights,' implying a process of conversion or change in legal status rather than a physical action. The metaphorical aspect lies in the conceptualization of 'turning' as a means to alter the status or identity of individuals, rather than describing a literal rotational or physical action.","'I saw the UN (and EU)“Pacts” for their power grabs, but Polly has provided the legal manner through which their machinations will triumph, turning millions of migrants into UN citizens with rights, thus draining all nations who signed of resources &amp; sovereignty!'"
1970,4,0.3888536504015287,right,Immigrants,person,u,other,show,"The verb 'show' is used metaphorically to convey the idea of making people aware or illustrating the magnitude of the issue, rather than describing a physical action. It transcends its literal meaning of displaying something tangibly, instead implying a conceptual or emotional revelation.","'if u could show this all over America,they could see 4 themselves the magnitude of it criminals,kids not really w/family Cartels way getting em here.'"
2476,4,0.43129002479662676,left,Citizens,person,People,other,SHOWING,"The verb 'SHOWING' is used metaphorically to depict an abstract concept (allegiance) rather than a physical action. It transcends its literal meaning of displaying something tangible by applying it to an intangible commitment, thus metaphorically representing the act of demonstrating loyalty.",'SHOWING allegiance to a foreign country rather than the very People who pay her salary!'
1964,4,0.45119300340436985,right,Anti-Immigration Sentiment,thing,this,other,show,"The verb 'show' is used metaphorically to imply making people perceive or comprehend the magnitude of the situation, rather than describing a physical action of displaying 'this'. The metaphorical use transcends the literal meaning of 'show' to convey an abstract understanding.","'if u could show this all over America,they could see 4 themselves the magnitude of it criminals,kids not really w/family Cartels way getting em here.'"
1074,4,0.47185794054328445,right,Political Figures,person,HRC,other,shows,"The verb 'shows' is used metaphorically to indicate that the actions of HRC (helping immigrants) reveal or demonstrate its true nature, transcending the literal physical act of displaying. It conveys a conceptual equivalence where the verb signifies the manifestation of inherent qualities rather than a direct physical action.",'Still my pres HRC helping with immigrants shows TRUE HRC...NOT the one nastily portrayed by bots/Russians!'
2472,4,0.4917415182634904,left,Anti-Immigration Sentiment,thing,allegiance,other,SHOWING,"The verb 'SHOWING' is used metaphorically to characterize the abstract target noun 'allegiance.' While 'showing' typically describes a physical action, here it is applied to an intangible concept (allegiance), implying an abstract demonstration of loyalty rather than a literal physical act.",'SHOWING allegiance to a foreign country rather than the very People who pay her salary!'
900,4,0.5013710436939836,left,Anti-Immigration Sentiment,thing,WHAT,other,SHOWS,"The verb 'SHOWS' is used metaphorically to attribute an active, revealing role to the abstract concept 'WHAT', which is not a physical entity. This personification of 'WHAT' as an agent capable of demonstrating or revealing information transcends its literal meaning of describing a physical action.",'WHAT ALSO SHOWS DEMS ARE USING ILLEGALS AS PAWNS IS THAT THE DETENTION CENTERS wERE BUILT BY OBAMA ADMIN &amp; DEMS SAID NOTHING!!!!!!!!'
746,4,0.5160208040897113,right,Political Figures,person,him,other,show,"The verb 'show' is used metaphorically to mean 'reveal' or 'expose' rather than describing a physical action. It characterizes the target noun 'him' by implying that specific actions will unveil or demonstrate something about Trump's intentions or nature, transcending its literal meaning of displaying something physically.",'Trump admin :   - Destroying the environment   - Caging children  - targeting legal migrants   - Racism   - packing federal courts with       radicals  - Obstructing Justice  - undermining democracy   - Tax cuts for the rich/ Deficit ⬆️  Liberals : *we know what will show him!*'
365,4,0.8004849491624716,left,Border Control and Security,thing,lack,other,indicates,"The verb 'indicates' is used metaphorically here, as it attributes the action of indicating (a conceptual process) to the noun 'lack', which is not a physical entity. The 'lack of support' is conceptualized as a sign or signal (a metaphorical extension of the verb 'indicates') that conveys the speaker's attitude, rather than describing a literal physical action.",'Your lack of support indicates you don’t think there is a problem on our Southern Border.'
864,4,0.8975455312481879,right,Public Opinion and Media Coverage,thing,Show,other,notes,"'Notes' is used metaphorically here to personify 'The Daily Show' as an active agent making a comment or suggestion, rather than describing a literal physical action of writing down information. The verb transcends its literal meaning to attribute a hypothetical perspective to the show as a source of commentary.","'If only Trump planned a service entrance in his border wall for his undocumented housekeeper, notes ""The Daily Show.""'"
3044,5,0.3627431482036998,right,Immigration Policy,thing,solution,other,finding,"The verb 'finding' is used metaphorically to describe the process of discovering an abstract solution, transcending its literal meaning of physically locating an object. The action of 'finding' here represents the conceptual effort to identify a solution, which is not a physical action.",'All of Congress of both parties have failed the American people by not finding a solution to #ProtectDreamers....'
1347,5,0.36699147102168117,right,Immigrants,person,I,other,finding,"The verb 'finding' is used metaphorically to describe the process of discovering common ground, which is an abstract concept representing agreement. The action of 'finding' here does not refer to a physical action but rather to the metaphorical act of identifying shared perspectives, transcending its literal meaning of locating something tangible.",'Hell must've froze over if Ann &amp; I are finding common ground on the H1B visa scam.'
1336,5,0.37426266699571803,right,Political Rhetoric and Partisan Debate,thing,ground,other,finding,"The verb 'finding' is used metaphorically to describe the process of discovering shared opinions or interests ('common ground'), which transcends its literal meaning of physically locating something. Here, 'finding' characterizes an abstract conceptual process rather than a physical action.",'Hell must've froze over if Ann &amp; I are finding common ground on the H1B visa scam.'
2592,5,0.4339150154775364,left,Government Officials,person,he,spatial motion,finds,"The verb 'finds' is used metaphorically to describe the action of determining or concluding that an entry would be detrimental, rather than referring to a physical act of locating something. The verb transcends its literal meaning of 'locating physically' to convey a cognitive or administrative judgment.","'CALL 202-456-1111  &amp; request he do an EO now  Title 8 Section Code 1182F power to suspend ENTRY of all aliens whenever he finds their entry would ""be detrimental to the interests of the US""'"
188,5,0.44851182596180034,right,Economic Impact,thing,something,spatial motion,found,"The verb 'found' is used metaphorically to describe the action of discovering 'something better,' which is an abstract concept rather than a physical object. The use of 'found' here transcends its literal meaning of locating a tangible item, implying a realization or identification of an intangible improvement, thus indicating metaphorical usage.",'It makes the joy of knowing that they found something better'
1206,5,0.46815661174757983,right,Economic Impact,thing,evidence,other,find,"The verb 'find' is used metaphorically to denote the discovery or establishment of evidence through analysis rather than a physical action. In this context, 'find' signifies identifying evidence through research and data analysis, not locating it in a tangible sense.","'Using bilateral data on migration across US metro areas, we find strong evidence that increasing house price and income inequality has reduced long distance migration, the type most linked to jobs.'"
555,5,0.516961687251027,right,Anti-Immigration Sentiment,thing,deal,spatial motion,finds,"The verb 'finds' is used metaphorically to describe the process of identifying or locating an abstract concept (the immigration deal) rather than a physical object. The metaphorical aspect lies in using a verb typically associated with physical discovery to characterize the abstract political agreement, implying the act of uncovering or recognizing the deal's existence and terms.","'Kushner, a confident negotiator says Sanders, finds immigration deal that asks for billions to waste on an easily scaled steel wall that will rust away and not keep out other skin color people baffling.'"
314,5,0.609344753304068,right,Other,organization,Employers,spatial motion,found,"The verb 'found' is used metaphorically to describe the realization or discovery of a state (employment pool shrinking) rather than a physical action. The target noun 'Employers' is not being physically located, but the verb conveys an abstract understanding of a situation resulting from deportations, transcending its literal meaning of locating a physical object.",'Employers who took advantage of illegal immigrants found their employment pool shrink with deportations and voluntary repatriates.'
2129,5,0.6178300398599784,left,Political Rhetoric and Partisan Debate,thing,elections,other,find,"The verb 'find' is used metaphorically to describe 'elections,' implying that elections are something that needs to be discovered or located, which transcends their actual nature as organized political processes. The literal action of 'finding' does not apply to elections, which are not physical entities to be searched for.",'You will use tax dollars to find your elections'
945,6,0.3954295802700272,left,Immigration Policy,thing,legislation,force,control,"The verb 'control' is used metaphorically to describe influence over an abstract process (legislation) rather than a physical action. The metaphorical aspect lies in applying a verb typically associated with direct management to an abstract concept, implying authority or regulation without literal physical interaction.",'They can control all legislation.'
1445,6,0.4094008441012467,right,Anti-Immigration Sentiment,thing,population,force,control,"The verb 'control' is used metaphorically to describe the abstract management or regulation of a population's behavior, rather than a physical action. It transcends its literal meaning of direct physical restraint to convey influence over a group through policies or social mechanisms.",'Democrats are conspiring to turn America into a socialist nation in order to better control the population.'
208,6,0.4656799520276568,left,Undocumented Immigrants,person,illegals,force,control,"The verb 'control' is used metaphorically to describe the abstract influence or manipulation of the voting process by 'illegals,' rather than referring to a physical action. It transcends its literal meaning of direct authority to imply a conceptual relationship between the target noun and the act of governing a political outcome.","'this is what happens when your power hungry, u need more illegals coming into the country to control the vote"" they are corrupt, and have no conscience, they could care less,  to get more illegal scum in.'"
207,6,0.4696968877262709,left,Anti-Immigration Sentiment,thing,vote,force,control,"The verb 'control' is used metaphorically to describe the abstract act of influencing or manipulating the 'vote' as a process or system, rather than referring to a physical action. The context suggests exerting power over the voting process through corruption, which transcends the literal meaning of 'control' as a tangible action.","'this is what happens when your power hungry, u need more illegals coming into the country to control the vote"" they are corrupt, and have no conscience, they could care less,  to get more illegal scum in.'"
542,6,0.4783489475976878,left,Democratic Party,organization,Democrats,force,control,"The verb 'control' is used metaphorically to describe the Democrats' influence over the government. While 'control' can have a literal meaning of managing a physical object or system, in this context, it refers to abstract political power and authority, transcending its literal action-based definition to convey dominance over an abstract entity (the government).","'If Democrats control government they will allow poverty to grow, knowing it creates dependency &amp; that = votes.'"
1318,6,0.5162535046628306,right,Border Control and Security,thing,immigration,force,controlling,"The verb 'controlling' is used metaphorically to describe the management of immigration as a process, not a physical action. Immigration is not a tangible entity that can be 'controlled' in a literal sense (e.g., physically restraining people), but the verb is applied to abstractly characterize the exercise of authority over a policy or system, transcending its literal meaning of direct physical control.","'Trump is ""controlling"" immigration so well that we have them all in prisons....his billionaire colleagues making money off prisons!'"
2724,6,0.6949410327057803,left,International Relations,thing,cooperation,force,managed,"The verb 'managed' is applied to the abstract concept 'cooperation', transcending its literal meaning of controlling a physical entity. This metaphorical use attributes an action (management) to an abstract noun, implying that cooperation can be guided or directed as if it were a tangible object, which is a metaphorical extension of the verb's original meaning.","'#migration could be managed by cooperation says  Africa, Europe ties should be mutually beneficial – Kagame  via'"
2720,6,0.72201598876334,left,International Relations,thing,#migration,force,managed,"The verb 'managed' is used metaphorically to describe the abstract process of #migration, implying control or handling of a complex social issue rather than a physical action. The metaphorical aspect lies in applying a verb typically associated with tangible control to an intangible phenomenon, suggesting governance or policy intervention rather than literal physical management.","'#migration could be managed by cooperation says  Africa, Europe ties should be mutually beneficial – Kagame  via'"
1433,7,0.42343141743816665,left,Undocumented Immigrant Communities,place,country,spatial motion,invading,"The verb 'invading' is used metaphorically to describe the impact of illegal immigrants on the country, transcending its literal meaning of physical entry by force. It conveys a conceptualization of their presence as an encroaching threat, personifying the target noun 'country' as a territory under attack, rather than describing a direct physical action.",'Dump Ellen until they get rid of their fascist executive producer who declared he was more terrified of one immigrant like Melanie than thousands of illegals invading our country!'
1051,7,0.4565976567451771,left,Undocumented Immigrant Communities,place,country,spatial motion,invading,"The verb 'invading' is used metaphorically to describe the action of people (illegals) entering the country, implying a metaphorical 'takeover' or encroachment rather than a literal military invasion. The source verb 'invade' transcends its original meaning of physical military action to characterize the target noun 'country' in a non-literal, conceptual sense.",'this is all coordinated between mexico and the dimwits/secret govt all of whom want to destroy the AMERICAN WAY by deleting our resources and invading our country with illegals that will affect the voting in America for the benefit of the dems'
1163,7,0.4647140410570392,left,Undocumented Immigrants,person,aliens,spatial motion,invaded,"The verb 'invaded' is used metaphorically to characterize 'aliens' as a forceful, overwhelming entry into the USA. While 'invade' literally refers to military or hostile entry, the context here applies it to human migration, implying a perceived threat or large-scale influx rather than a physical attack. This transcends the verb's original meaning by personifying or metaphorizing the action of immigration as an invasion.","'37,000 illegal aliens invaded USA in March 2018.'"
576,7,0.47113030643615256,right,Undocumented Immigrants,person,people,spatial motion,invaded,"The verb 'invaded' is used metaphorically to describe the influx of 'people' as an invasion, implying a metaphorical 'invasion' of immigrants rather than a literal physical attack. The context of an 'illegal immigration crisis' frames 'invaded' as a metaphor for mass migration, transcending its literal meaning of military conquest.","'There has been an ""illegal immigration crisis"" in America since white people invaded.'"
1172,7,0.4804735705431942,left,Undocumented Immigrant Communities,place,USA,spatial motion,invaded,"The verb 'invaded' is used metaphorically to describe the action of 37,000 illegal aliens entering the USA. While 'invade' typically refers to a military conquest, here it is applied to non-military, unauthorized entry, transcending its original meaning. The metaphorical aspect lies in using a violent, militaristic verb to characterize a non-physical, social action, implying an exaggerated or symbolic portrayal of the event rather than a literal physical invasion.","'37,000 illegal aliens invaded USA in March 2018.'"
2219,7,0.6691488705811849,left,U.S. Borders,place,border,spatial motion,jump,"The verb 'jump' is used metaphorically to describe the act of crossing the border, implying a sudden or illicit movement rather than a literal physical action. The phrase 'jump the border' does not refer to the physical act of leaping over the border but instead metaphorically conveys the idea of bypassing or illegally entering a restricted area.",'We are not the providers to every illegal immigrant that wants to jump the border.'
2521,7,0.7161364875988403,left,U.S. Borders,place,border,spatial motion,jumped,"The verb 'jumped' is used metaphorically to describe migrants overcoming the border, transcending its literal physical action. 'Jumped' here signifies a rapid, decisive action to cross an abstract boundary, not a literal physical leap over a tangible border.","'So hundreds of migrants jumped Spain’s border, attacked &amp; injured 22 police &amp; 600 of them gained entry.'"
109,7,0.7662768752985275,left,Anti-Immigration Sentiment,thing,worship,spatial motion,enter,"The verb 'enter' is used metaphorically to describe the action of 'worship.' Here, 'enter' transcends its literal physical meaning, implying that worshiping the illegals is akin to allowing them to enter a space or domain, suggesting a metaphorical 'entry' into a societal or spiritual context, rather than a literal physical action.","'Inner city working minority poor suffer the most as the illegals you import &amp; worship enter &amp; compete for scarce low pay jobs, already overcrowded schools, special ed, medical resources etc.'"
3052,7,0.7727434375731911,left,U.S. Borders,place,border,spatial motion,rushing,"The verb 'rushing' is used metaphorically to describe the action of attempting to cross the border quickly, transcending its literal meaning of physical movement. The border, as a boundary, cannot be 'rushed' in a physical sense, indicating a metaphorical use to convey urgency or intent to bypass it illegally.",'Since they were NOT requesting Asylum they were rushing the border and entering illegally.'
486,8,0.4166390600595177,left,Anti-Immigration Sentiment,thing,This,spatial motion,backed,"The verb 'backed' is used metaphorically to indicate ideological or financial support for the abstract concept of 'This ""without borders"" migrant invasion.' It transcends its literal meaning of physical support to denote backing a policy or idea, rather than a tangible action.","'This "" without borders"" migrant invasion must be backed by George Soros....to overwhelm and collapse our system.'"
483,8,0.49743025698586407,left,Anti-Immigration Sentiment,thing,borders,spatial motion,backed,"The verb 'backed' is used metaphorically to describe the target noun 'borders' by implying support for a political cause (the 'without borders' migrant invasion) that transcends its literal meaning of providing physical or direct support. Here, 'backed' symbolizes endorsement of a metaphorical concept related to borderlessness, rather than a literal action.","'This "" without borders"" migrant invasion must be backed by George Soros....to overwhelm and collapse our system.'"
2791,8,0.5482197075356702,left,Countries of Origin,place,countries,other,supporting,"The verb 'supporting' is used metaphorically to describe ideological or political endorsement of countries' actions, rather than a literal physical action. It transcends its original meaning of providing physical support to convey backing or alignment with the countries' stance against America.","'So your saying you want borders protected, illegal immigration, visa catch and release lottery etc stopped, child pedophiles locked in prison, supporting all these countries that wish America dead, HRC O Holder etc all held accountable for their crimes, trade deals to be fare US?'"
451,8,0.5594244909523378,left,Immigrants,person,Soros,spatial motion,backed,"The verb 'backed' is used metaphorically to describe George Soros as a supporter or financier of the 'without borders' migrant invasion. Literally, 'backed' refers to physical support, but here it metaphorically conveys Soros's role in enabling or facilitating the invasion, transcending direct physical action.","'This "" without borders"" migrant invasion must be backed by George Soros....to overwhelm and collapse our system.'"
462,8,0.5700205777091515,left,Anti-Immigration Sentiment,thing,invasion,spatial motion,backed,"The verb 'backed' is used metaphorically to personify the abstract concept of 'invasion' as an entity that can be supported or sustained, transcending its literal meaning of providing physical or financial backing. The metaphorical aspect lies in attributing a physical action (supporting) to a non-physical, metaphorical target (the invasion).","'This "" without borders"" migrant invasion must be backed by George Soros....to overwhelm and collapse our system.'"
2587,8,0.6389618530058288,left,U.S. Borders,place,Arizona,other,support,"The verb 'support' is used metaphorically to describe Arizona's political stance toward the plan, transcending its literal meaning of physical support. Here, 'support' signifies endorsement or backing, which is a conceptual metaphor rather than a physical action.",'The Dems want Arizona to support their illegal immigration plan of no borders and McSally agrees with this plan.'
2578,8,0.6575613908188441,left,Criminal Justice and Enforcement,thing,trafficking,other,support,"The verb 'support' is used metaphorically here to indicate endorsement or approval of the action 'trafficking,' which is not a physical action. The verb transcends its literal meaning of providing physical assistance to convey a stance towards an activity, representing a metaphorical use of the verb to characterize the target noun.","'Do you support human trafficking, drug and gun smugglers, illegal immigrant families working for slave wages.'"
