,met_id,cluster,doc_id,source_word,target_word,llm_expl,sentence,distance
1158553439049097217_1_40_39,1158553439049097217_1_40_39,1,1158553439049097217,mean,I,The influx of illegal aliens is a harmful force corrupting the political system. Political leaders are enabling the entry of illegal aliens to manipulate electoral outcomes. It is unethical to allow illegal aliens to exploit the political process for personal gain. Strict immigration controls should be implemented to block the entry of illegal aliens.,"'He’s getting a second term, and it will be glorious when we get the house back as a matter of fact we will be able to actually fix healthcare and limit the flow of future votes ooops I mean illegal aliens.'",0.5451769
1122183793543122945_0_8_7,1122183793543122945_0_8_7,1,1122183793543122945,stop,help,There is an uncontrolled flow of illegal voters entering the system. The authorities have failed to prevent the ongoing influx of illegal voters. It is unethical to allow the unchecked flow of illegal voters into the system. The authorities should implement measures to stop the flow of illegal voters.,'It would be political suicide if the help stop the flow of illegal voters..',0.5505041
1083138515150487552_1_1_0,1083138515150487552_1_1_0,1,1083138515150487552,need,They,They require a large number of illegals to achieve political goals. Political power hunger drives the demand for illegals as voters and representatives. It is unethical to exploit vulnerable populations for political gain. They should abandon strategies that depend on manipulating immigrant populations for power.,'They need as many illegals as possible for votes and Congressional representation.',0.5523817
987300034415857671_1_12_11,987300034415857671_1_12_11,1,987300034415857671,hire,who,The system is being corrupted by exploiting undocumented workers for political gain. Political leaders hire undocumented workers illegally to secure votes. It is unethical to exploit vulnerable immigrants for political power. Political leaders should stop hiring undocumented workers illegally and reform the system.,"'Their allowing Illegal Immigration also ""Buy$ Vote$"" because those who hire ""under the table"" vote for them as well as Illegals.'",0.5606356
1126977216540098560_0_33_34,1126977216540098560_0_33_34,1,1126977216540098560,elect,CA,Illegal aliens are influencing political decisions in California by electing officials. Illegal aliens are using their presence to manipulate the electoral process. It is unethical that illegal aliens are exploiting the system to gain political power. Illegal aliens should be prevented from participating in elections to stop their influence.,'Sadly ..the agenda of #Openborder #Soros #Dems assist &amp; harvest votes from MASSIVE #Illegals in #California &amp;  hide aliens in #SanctuaryCities  =&gt; ILLEGALS elect CA!',0.5629076
1098972749651791873_1_18_19,1098972749651791873_1_18_19,1,1098972749651791873,taking,advantage,Undocumented individuals are exploiting the system unfairly. Illegals are using the system without proper authorization. It is unethical for illegals to exploit the system while real citizens' votes are ignored. The system should be secured to prevent illegals from taking advantage of it.,"'We have insane people leading us in California , real citizens votes don’t count too many illegals taking advantage of the system'",0.5861537
1109361370020098050_4_2_0,1109361370020098050_4_2_0,1,1109361370020098050,campaign,They,"There is a deliberate, organized effort to support illegal aliens. The campaign is driven by a desire to control or manipulate the situation for political gain. It is unethical to use a campaign as a deceptive strategy to exploit vulnerable groups. The campaign should be exposed and dismantled to prevent further manipulation.",'They only campaign for illegal aliens…',0.5904858
1070850945892933633_1_1_3,1070850945892933633_1_1_3,1,1070850945892933633,need,illegals,"They rely on immigrants to secure political support. Political leaders prioritize electoral gains over ethical considerations by exploiting immigrant communities. It is unethical to manipulate voters by exploiting immigrant populations for political advantage. Politicians should seek legitimate, inclusive policies instead of relying on immigrant votes for power.",'They need the illegals for votes!!!',0.5910879
1033153957118599168_1_27_29,1033153957118599168_1_27_29,1,1033153957118599168,have,conscience,The group is using illegal immigrants as a tool for political control. Their power-hungry nature drives them to bring in more illegal immigrants. It is unethical to exploit illegal immigrants for political gain. Stop the inflow of illegal immigrants to prevent this exploitation.,"'this is what happens when your power hungry, u need more illegals coming into the country to control the vote"" they are corrupt, and have no conscience, they could care less,  to get more illegal scum in.'",0.5960372
1126977216540098560_0_33_32,1126977216540098560_0_33_32,1,1126977216540098560,elect,ILLEGALS,Illegal aliens are influencing the election of officials in California. Illegal aliens are using their presence to manipulate the electoral process. It is unethical that illegal aliens are exploiting the system to elect officials. Illegal aliens should not be allowed to participate in electing officials.,'Sadly ..the agenda of #Openborder #Soros #Dems assist &amp; harvest votes from MASSIVE #Illegals in #California &amp;  hide aliens in #SanctuaryCities  =&gt; ILLEGALS elect CA!',0.6107681
1032684049926692864_0_5_6,1032684049926692864_0_5_6,1,1032684049926692864,Stop,illegals,Illegals are committing tax and identity fraud. The presence of illegals enables tax and identity fraud. It is unethical to allow illegals to exploit the system through fraud. Congress should prevent illegals from committing tax and identity fraud.,"'🔴🔴Congress,🔴🔴 🔴Stop illegals from🔴 🔴tax &amp; identity Fraud🔴 👇👇👇👇👇👇👇👇👇'",0.6220102
1122183793543122945_0_8_10,1122183793543122945_0_8_10,1,1122183793543122945,stop,flow,There is an uncontrolled flow of illegal voters entering the political system. The help (authorities) are failing to prevent this flow. It is irresponsible to allow illegal voters to continue influencing politics. The flow of illegal voters must be halted.,'It would be political suicide if the help stop the flow of illegal voters..',0.6234107
1036771855946969088_0_3_2,1036771855946969088_0_3_2,1,1036771855946969088,exploited,who,Illegal immigrants are misusing the Motor Voter Act to unlawfully register voters. The illegal immigrants deliberately exploited the Motor Voter Act's vulnerabilities. It is unethical for illegal immigrants to exploit the system for fraudulent registration. The Motor Voter Act should be reformed to prevent exploitation by unauthorized individuals.,'Illegal immigrants who exploited Motor Voter to register in North Carolina still on rolls  via',0.633734
1148561753774743557_4_12_13,1148561753774743557_4_12_13,1,1148561753774743557,COLLECT,VOTES,The speaker is treating illegal immigrants as resources to be gathered for political gain. The speaker is prioritizing personal political advantage by aggregating immigrant votes. It is unethical to reduce human beings to mere vote-collecting objects. The speaker should stop viewing immigrants as expendable resources and engage with them as people.,'STOP THINKING ABOUT YOURSELF AND ALL THE ILLEGALS YOU ARE TRYING TO COLLECT VOTES FROM!!',0.6468991
1151810365111644161_1_0_2,1151810365111644161_1_0_2,1,1151810365111644161,Take,opportunity,"The young, immigrants, and naive are being used as tools for political gain. The speaker takes advantage of the vulnerability of these groups to manipulate votes. It is unethical to exploit the powerless for political benefit. The speaker should refrain from using vulnerable groups as pawns in elections.","'Take every opportunity to exploit the young, immigrants and naive for votes.'",0.6945585
1099393364112347136_2_2_0,1099393364112347136_2_2_0,1,1099393364112347136,counting,They,They are relying on unreliable voters to achieve their goals. The existence of undocumented voters and uninformed millennials provides a basis for this reliance. It is unethical to exploit the ignorance of millennials and the presence of undocumented voters for political gain. They should stop relying on undocumented voters and educate millennials about socialism's flaws.,'They're counting on the illegals vote and millennials who don't know socialism is not a good form of government.',0.7027868
1010898428119994369_0_12_10,1010898428119994369_0_12_10,1,1010898428119994369,get,you,"The far right's treatment of immigrants is preventing them from gaining votes. Treating immigrants like trash is the reason they cannot gain votes. It is immoral to treat immigrants as trash, which prevents them from gaining votes. Stop treating immigrants like trash to gain their votes.","'If the far right stopped treating immigrants like trash, you might get some of their votes.'",0.78304464
1009158443318595585_0_6_8,1009158443318595585_0_6_8,2,1009158443318595585,caging,children,Migrant children are being held in confinement by Obama's policies. Obama's administration has implemented policies that imprison migrant children. It is unethical to imprison migrant children as if they are property. Obama should end the practice of caging migrant children and release them.,'Where were you when Obama was caging migrant children?',0.4833448
1009158443318595585_0_6_4,1009158443318595585_0_6_4,2,1009158443318595585,caging,Obama,Migrant children are being confined in harsh conditions. Obama's policies or actions have led to the confinement of migrant children. It is immoral to treat migrant children as property or objects to be confined. Obama should release the migrant children and stop confining them.,'Where were you when Obama was caging migrant children?',0.49984348
1008694595272650752_1_14_11,1008694595272650752_1_14_11,2,1008694595272650752,inundated,who,The Obama administration faced an overwhelming influx of child migrants. Coddling law breakers led to a surge in child migrants seeking refuge. It is problematic that leniency toward lawbreakers caused chaos and overcrowding. The administration should stop enabling lawbreakers and secure borders to prevent further influx.,"'Coddling the law breakers implies ""permisso"" ala Obama , who was promptly inundated with trainloads of child migrants you see elsewhere in cages.'",0.60045415
1122548193844060160_1_6_7,1122548193844060160_1_6_7,2,1122548193844060160,caging,children,"The Obama administration is imprisoning immigrant children in cages. The Obama administration treats immigrant children as property to be controlled, not as individuals. It is immoral that the Obama administration would cage children and strip them of their dignity. The Obama administration should release the caged children and treat them with humanity.","'Obama's was the administration of caging children, deporting poor people just trying for a better life &amp; despite having majorities in both houses, refused to pass comprehensive immigration reform.'",0.6076557
1055781527592697856_0_1_2,1055781527592697856_0_1_2,2,1055781527592697856,stealing,children,The policy treats children as property to be taken from their parents to deter migrants. The policy's failure stems from using children as leverage rather than protecting their rights. It is immoral to treat children as tools for political strategy rather than as individuals. The policy should stop taking children from their parents and instead use humane methods to deter migration.,"'Since stealing children from their parents FAILED as a Trump/Nielsen/Kelly policy to deter migrants, apparently now they are floating the 'thought' that they will be shot at the border?'",0.61000997
1040223080696696839_0_5_0,1040223080696696839_0_5_0,2,1040223080696696839,Skyrocketed,Detention,The number of detained migrant children has increased dramatically. Policies or practices have caused the rapid rise in detention numbers. It is unjust to subject migrant children to such extreme and harmful conditions. Policies should be changed to end the surge in detentions and protect children.,'Detention of Migrant Children Has Skyrocketed to Highest Levels Ever -  - NY Times   “Population levels at federally contracted shelters for migrant children have quietly shot up more than fivefold since last summer....”  #FreeTheChildren',0.638125
1156927491086438401_1_7_8,1156927491086438401_1_7_8,2,1156927491086438401,targets,children,"The bill is specifically singling out children for deportation, which is harmful. The bill's creators intend to focus on children as a deliberate strategy. It is unethical to use the bill as a tool to victimize children rather than protect them. The bill should be amended to stop targeting children for deportation and protect their asylum rights.",'This bill destroys asylum protections and specifically targets children for deportation.',0.64445335
1008694595272650752_1_21_20,1008694595272650752_1_21_20,2,1008694595272650752,see,you,"The visibility of child migrants in cages is a clear consequence of leniency toward lawbreakers. Coddling lawbreakers, like Obama's approach, leads to the public exposure of child migrants in cages. It is immoral to allow the public visibility of child migrants in cages through leniency. The coddling of lawbreakers should be stopped to prevent the visible suffering of child migrants.","'Coddling the law breakers implies ""permisso"" ala Obama , who was promptly inundated with trainloads of child migrants you see elsewhere in cages.'",0.6464466
1164305866562011136_0_13_3,1164305866562011136_0_13_3,2,1164305866562011136,#concentrationcamps,Moves,"The Trump administration is using inhumane conditions to detain children. The Trump administration is removing legal limits on detaining children, leading to their imprisonment. It is inhumane and unethical to subject children to conditions akin to concentration camps. The Trump administration should end the use of detention camps for children and find humane alternatives.",'#Trump Administration Moves to End Limits on Child #DetentionCamps #immigration #ICE #concentrationcamps  via',0.6468157
1008694595272650752_1_4_9,1008694595272650752_1_4_9,2,1008694595272650752,implies,Obama,"Coddling lawbreakers leads to an influx of child migrants. Lenient treatment of lawbreakers encourages mass migration of children. It is immoral to show leniency toward lawbreakers, as it results in child migration crises. Authorities should stop coddling lawbreakers to prevent further child migration.","'Coddling the law breakers implies ""permisso"" ala Obama , who was promptly inundated with trainloads of child migrants you see elsewhere in cages.'",0.6501263
1010052427368804352_1_13_11,1010052427368804352_1_13_11,2,1010052427368804352,shipped,children,"Migrant children are being transported to facilities, implying forced separation from their families. The American government abducts migrant children, leading to their shipment to facilities. It is dehumanizing to treat migrant children as cargo by shipping them to facilities. The American government should stop shipping migrant children and instead reunite them with their families.",'A report on some of the facilities to which the migrant children are shipped after the American government abducts them from their parents.',0.65618855
1008694595272650752_1_4_3,1008694595272650752_1_4_3,2,1008694595272650752,implies,breakers,"Coddling lawbreakers leads to an influx of child migrants, a destructive force. Leniency toward lawbreakers causes Obama to face overwhelming migration pressures. It is immoral to show leniency toward lawbreakers, as it enables child migration crises. Stop granting leniency to lawbreakers to prevent child migrants from being sent to cages.","'Coddling the law breakers implies ""permisso"" ala Obama , who was promptly inundated with trainloads of child migrants you see elsewhere in cages.'",0.67090476
1172849314013560832_2_11_7,1172849314013560832_2_11_7,2,1172849314013560832,lock,Administration,The Obama Administration is subjecting illegal immigrants to conditions akin to imprisonment. The Obama Administration's policies treat illegal immigrants as criminals requiring confinement. It is inhumane to imprison illegal immigrants as if they are dangerous animals. The Obama Administration should stop confining illegal immigrants and treat them with dignity.,"'He said last night that the Obama Administration ""didn’t lock illegal immigrants up in cages.""'",0.67226547
1162467880182697984_2_5_6,1162467880182697984_2_5_6,2,1162467880182697984,lock,children,Children are being treated as prisoners in a restrictive environment. The decision to lock children up stems from a policy prioritizing control over their well-being. It is unethical to imprison children as if they are property rather than individuals. Children should be released from confinement and provided with humane alternatives.,'He’s not going to lock children up especially indefinitely.',0.6832708
1143535741949140994_0_9_0,1143535741949140994_0_9_0,2,1143535741949140994,force,Liberals,"Liberals are compelling House leaders to act against the Trump administration's mistreatment of migrant children. The Trump administration's harsh treatment of migrant children is prompting liberals to exert pressure. It is unethical for the Trump administration to mistreat migrant children, leading liberals to demand accountability. House leaders should amend the border bill to address the Trump administration's unjust treatment of migrant children.",'Liberals angry with Trump administration treatment of migrant children force House leaders to amend border bill',0.6938893
1037097599008792576_1_15_16,1037097599008792576_1_15_16,2,1037097599008792576,weigh,duty,US school districts are prioritizing the duty to youth migrant shelters as a critical responsibility. School districts are failing to balance other priorities against the duty to youth migrant shelters. It is unethical for school districts to neglect their moral obligation to youth migrant shelters. School districts should allocate resources and policies to fully uphold their duty to youth migrant shelters.,'Eastern to talk about the fallout from my story looking at how US school districts weigh duty to youth migrant shelters.',0.69791293
1015380242028953600_0_19_21,1015380242028953600_0_19_21,2,1015380242028953600,put,end,Human trafficking of children is a persistent and harmful issue. The child separation policy is implemented to address the ongoing human trafficking of children. It is morally justified to separate children to stop human trafficking. The policy should continue to 'put an end' to human trafficking by separating children.,'Warren’s Tweet ignores one of the chief reasons for the child separation policy ...meant to try&amp;put an end to human trafficking of children.',0.71531093
1156923203228319744_0_1_0,1156923203228319744_0_1_0,2,1156923203228319744,built,Obama,Obama created a system of detention for immigrants. Obama's policies and decisions led to the establishment of these detention facilities. It is unethical to build systems that imprison immigrants and strip them of dignity. The detention system built by Obama should be dismantled and replaced with humane alternatives.,'Obama built the cages and deported many more illegals than Trump has❗',0.72197586
1037097599008792576_1_15_14,1037097599008792576_1_15_14,2,1037097599008792576,weigh,districts,School districts are prioritizing the duty to youth migrant shelters over other considerations. School districts are making decisions based on the perceived importance of duty to youth migrant shelters. It is morally right to prioritize the duty to youth migrant shelters in decision-making. School districts should continue to weigh the duty to youth migrant shelters heavily in their policies.,'Eastern to talk about the fallout from my story looking at how US school districts weigh duty to youth migrant shelters.',0.7311537
1009786806273896449_2_11_8,1009786806273896449_2_11_8,2,1009786806273896449,obstructed,it,Efforts to address the issue of children in cages are being blocked. Prioritizing making the President look bad and registering illegals to vote Democrat is causing the obstruction. It is wrong to prioritize political attacks and voter registration over the welfare of children in cages. Focus should be shifted to making the President look bad and registering illegals to vote Democrat instead of addressing children in cages.,"'We can't do it alone, but it will be obstructed because making the President look bad is and getting illegals registered to vote Democrat is FAR MORE IMPORTANT THAN KIDS IN CAGES.'",0.74838793
1009157898478538753_0_13_12,1009157898478538753_0_13_12,2,1009157898478538753,Put,Obama,Obama's policy is causing the redistribution of Ivy League dorms to immigrant families. Obama put in place a policy that enables the seizure of dorms for immigrant families. It is morally wrong that Obama's policy allows the seizure of dorms for immigrant families. Obama's policy should be repealed to stop the seizure of dorms for immigrant families.,'Seize Ivy League Dorms &amp; Give them to Immigrant Families *Obama Put in place policy Trump is now enforcing',0.794063
1008544651807215616_1_10_12,1008544651807215616_1_10_12,2,1008544651807215616,supports,children,Ann's children are exposed to danger at the border. Ann's support for her children keeps them safe from the border crisis. Ann's commitment to her children is morally praiseworthy. Ann should continue providing support to protect her children from the border crisis.,"'Ann' says she ""sleeps just fine because she supports her children"", regarding what's going on at the border.'",0.8132182
1008544651807215616_1_10_9,1008544651807215616_1_10_9,2,1008544651807215616,supports,she,Ann's children are suffering due to the border crisis. The border situation has placed children in need of support. Supporting children in crisis is a moral duty. Ann should continue supporting her children through the crisis.,"'Ann' says she ""sleeps just fine because she supports her children"", regarding what's going on at the border.'",0.81548214
1141776573244366848_0_6_5,1141776573244366848_0_6_5,2,1141776573244366848,blocks,agency,"A federally-funded agency is preventing same-sex couples from fostering children, treating them as unworthy. The agency's religious beliefs, specifically adherence to Jesus' teachings, justify blocking same-sex couples. It is unethical for the agency to prioritize religious doctrine over the rights of same-sex couples. The agency should stop blocking same-sex couples and allow them to foster children equally.","'Federally-funded Catholic adoption agency blocks same-sex couple from fostering migrant children, because Jesus -'",0.85133487
1032047342445387776_0_3_0,1032047342445387776_0_3_0,3,1032047342445387776,give,I,The speaker is indifferent to the feelings of others. The speaker deliberately chooses not to care about offending people. It is unethical to disregard the feelings and dignity of others. The speaker should care about the impact of their actions on others.,'I dont give a crap 💩 who I offend.',0.6145991
1102567104606339073_0_0_1,1102567104606339073_0_0_1,3,1102567104606339073,Screw,you,The speaker is being harmed or treated unfairly. The speaker is being intentionally harmed by others. It is wrong to harm others in this manner. The speaker should stop being harmed and seek justice.,'Screw you!',0.6167706
1022568795481755653_1_4_3,1022568795481755653_1_4_3,3,1022568795481755653,pains,it,The speaker is experiencing emotional distress from a difficult situation. The situation being discussed is causing the speaker's emotional pain. The speaker's emotional pain is morally justified due to the situation. The speaker should address the root cause of their emotional pain.,'As much as it pains me.',0.65538746
1023042334462812165_4_1_0,1023042334462812165_4_1_0,3,1023042334462812165,hate,I,The speaker must deliver unpleasant news that causes discomfort. The information to be shared is inherently burdensome or harmful. It is wrong to impose this distressing information on others. The speaker should avoid sharing the news to prevent harm.,"'I hate to tell them though, they'",0.65784925
1143830656469934080_3_0_1,1143830656469934080_3_0_1,3,1143830656469934080,Fuck,you,The recipient is being subjected to harsh treatment. The speaker is frustrated with the recipient's actions. It is justified to treat the recipient harshly for their actions. The speaker should stop interacting with the recipient or cease the behavior causing the frustration.,'Fuck you.',0.65918654
1032047342445387776_0_3_5,1032047342445387776_0_3_5,3,1032047342445387776,give,crap,The speaker does not care about the impact of their actions on others. The speaker's lack of concern for others' feelings or reactions is the root issue. It is morally wrong to disregard the feelings of others entirely. The speaker should start caring about the consequences of their actions on others.,'I dont give a crap 💩 who I offend.',0.6672795
1022568795481755653_0_4_5,1022568795481755653_0_4_5,3,1022568795481755653,pains,me,The speaker is reluctant to state a truth that causes them emotional discomfort. The speaker associates the truth with a painful emotional experience. It is morally right to speak the truth despite the emotional pain it causes. The speaker should overcome their emotional pain and state the truth honestly.,"'As much as it pains me to say it,  a” photo ID “ is not enough.'",0.7096992
1022568795481755653_0_4_3,1022568795481755653_0_4_3,3,1022568795481755653,pains,it,The speaker is reluctant to express a difficult truth. The speaker's personal discomfort stems from the gravity of the statement. It is morally troubling that the speaker must endure pain to convey an important truth. The speaker should overcome their discomfort and communicate the truth despite the pain.,"'As much as it pains me to say it,  a” photo ID “ is not enough.'",0.7163832
1151923245995761664_3_0_1,1151923245995761664_3_0_1,3,1151923245995761664,Take,care,The speaker's own people are being neglected or left to fend for themselves. The speaker has failed to take responsibility for their own people. It is immoral to neglect the welfare of one's own people. The speaker should actively take responsibility and provide care for their own people.,'Take care of your own people.',0.7348696
1161755238585503745_0_9_8,1161755238585503745_0_9_8,3,1161755238585503745,feelings,journalist,Fredo's emotions are being damaged by the speaker's words. The speaker's words are the reason for Fredo's emotional harm. It is immoral for the speaker to hurt Fredo's feelings. The speaker should avoid using words that hurt Fredo's feelings.,'Other words he hurt Fredo's  the fake journalist feelings 21 times.',0.74121374
1161443849677488131_4_2_3,1161443849677488131_4_2_3,3,1161443849677488131,force,it,The person is being imposed upon with unwanted actions or decisions. The speaker is being compelled against their will to accept something. It is wrong to compel someone against their will to accept something. The speaker should not be compelled to accept something against their will.,'Don't force it on me',0.75992846
986372386885955586_1_2_1,986372386885955586_1_2_1,3,986372386885955586,do,you,The speaker is requesting an action that is not desired. The speaker's frustration with the situation leads them to make the request. It is unreasonable to expect someone to perform an unwanted favor. The person should refuse to perform the favor.,"'Can you do us, the world and I'm almost positive, your kids a favor and just have a coronary?'",0.7710849
1068399799655903232_1_1_0,1068399799655903232_1_1_0,3,1068399799655903232,have,I,The speaker is isolating vulnerable individuals to prevent the spread of disease. The speaker's compassion is being controlled to avoid exposing others to contagious diseases. It is morally acceptable to isolate the vulnerable to protect others from disease. The speaker should continue isolating the vulnerable to prevent disease transmission.,"'I have compassion for the sick, elderly, disabled, disease-ridden, etc., but I don't want anyone else to be exposed to these contagious diseases.'",0.7713443
1161755238585503745_0_3_2,1161755238585503745_0_3_2,3,1161755238585503745,hurt,he,Fredo's feelings were repeatedly harmed by others' words. Others used hurtful words that targeted Fredo's emotions. It is wrong to deliberately hurt someone's feelings with words. Others should avoid using hurtful language and respect Fredo's emotions.,'Other words he hurt Fredo's  the fake journalist feelings 21 times.',0.77614105
1068399799655903232_1_1_2,1068399799655903232_1_1_2,3,1068399799655903232,have,compassion,"The speaker possesses compassion but refuses to protect others from the risks posed by vulnerable individuals. The presence of contagious diseases among the sick, elderly, disabled, and disease-ridden creates a threat to others. It is hypocritical to claim compassion while prioritizing self-protection over collective safety. The speaker should isolate vulnerable individuals to prevent spreading diseases while still showing compassion.","'I have compassion for the sick, elderly, disabled, disease-ridden, etc., but I don't want anyone else to be exposed to these contagious diseases.'",0.7796061
1158034798646112257_1_1_3,1158034798646112257_1_1_3,3,1158034798646112257,invited,horror,"The problem is the intentional bringing in of horror, causing suffering. The person deliberately invited horror, leading to ongoing suffering. It is immoral that he intentionally invites horror, causing suffering. He should stop inviting horror to prevent further suffering.",'He invited this horror all the time.',0.78834647
1105529853590335488_1_6_3,1105529853590335488_1_6_3,3,1105529853590335488,come,survivors,Victims and survivors are hesitant to reveal their experiences. Victims and survivors fear retaliation or harm from those in power. It is unjust that victims and survivors are punished or threatened for speaking out. Authorities should protect victims and survivors to encourage them to come forward.,'Victims &amp; survivors may not come forward for fear of being targeted.',0.7900735
1146015293686329349_0_1_0,1146015293686329349_0_1_0,3,1146015293686329349,figure,I,There is an unmet expectation of payment for some obligation. The speaker assumes responsibility for payment without clear evidence or agreement. It is unjust that the speaker believes they should bear the financial burden alone. The situation should be clarified to determine who is responsible for the payment.,'I figure we are already paying.',0.8125105
1054866734375612416_2_6_3,1054866734375612416_2_6_3,3,1054866734375612416,like,you,The situation is something that should be accepted or preferred. The individual's choice not to prefer the situation is the issue. It is the individual's responsibility to accept the situation despite not liking it. The individual should accept the situation even if they don't like it.,'To bad if you dont like it but you have a choice.',0.82154536
1146497686041845760_2_3_0,1146497686041845760_2_3_0,3,1146497686041845760,prosecuted,You,Using English is considered a punishable offense. Authority figures have enacted strict rules against using English. It is unjust to punish individuals for speaking their native language. People should be allowed to use English without facing legal consequences.,"'You will be prosecuted if you try to use English!""'",0.9133211
1143936202342576128_1_14_15,1143936202342576128_1_14_15,4,1143936202342576128,earned,money,The middle class is being destroyed by immigrants taking their hard-earned money. Immigrants are exploiting the middle class's hard-earned money to create dependency. It is immoral for immigrants to take advantage of the middle class's hard-earned money. The middle class should protect their hard-earned money to avoid dependency on the government.,'They want immigrants to help eliminate the middle class by giving up our hard earned money thus making us also dependent upon the gov’t.',0.4777202
1143936202342576128_1_4_2,1143936202342576128_1_4_2,4,1143936202342576128,help,immigrants,Immigrants are being used to weaken the middle class by taking their wealth. Immigrants are being manipulated to act as agents of economic decline. It is unjust to exploit immigrants as tools for economic sabotage. Immigrants should not be used to drain the middle class's resources.,'They want immigrants to help eliminate the middle class by giving up our hard earned money thus making us also dependent upon the gov’t.',0.49428743
1020767613666955265_1_22_21,1020767613666955265_1_22_21,4,1020767613666955265,decimated,class,"The middle-class has been destroyed by the actions of illegal immigrants. Illegal immigrants have overwhelmed the economy, leading to the collapse of the middle-class. It is immoral that the middle-class has been destroyed by the actions of illegal immigrants. The middle-class should be protected from the damaging effects of illegal immigration.","'Just look at his accomplishments, $20 Trillion in Debt, illegals over-running our economy, middle-class decimated'",0.55060947
1020767613666955265_1_15_17,1020767613666955265_1_15_17,4,1020767613666955265,running,economy,"Illegal immigrants are overwhelming the economy, causing harm to the middle class. The influx of illegal immigrants is causing the economy to be overwhelmed. It is harmful that illegal immigrants are overwhelming the economy and destroying the middle class. The influx of illegal immigrants should be stopped to protect the economy and middle class.","'Just look at his accomplishments, $20 Trillion in Debt, illegals over-running our economy, middle-class decimated'",0.56108856
1143936202342576128_1_10_15,1143936202342576128_1_10_15,4,1143936202342576128,giving,money,"Immigrants are contributing their money to the government, which is causing the middle class to disappear. Immigrants are being asked to give up their hard-earned money, which is enabling the middle class's decline. It is unethical to force immigrants to give up their money, as it undermines the middle class. Immigrants should be encouraged to retain their money instead of giving it to the government.",'They want immigrants to help eliminate the middle class by giving up our hard earned money thus making us also dependent upon the gov’t.',0.5791745
