,cluster,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
947,0,left,Legal and Asylum Terminology,thing,fraud,other,based,"The verb 'based' is used metaphorically to indicate that the fraud is 'founded on' or 'grounded in' family relationships, rather than describing a physical action. Here, 'based' transcends its literal meaning of physically placing something to characterize the fraud as being structured or rooted in family ties, which is a conceptual metaphor rather than a literal action.","'DHS: 300% increase in family-based immigration fraud in the past fiscal year as cartels, human traffickers &amp; others exploit family loophole.'"
1327,0,left,Legal and Asylum Terminology,thing,laws,other,exploit,"The verb 'exploit' is used metaphorically to describe the misuse of abstract concepts (laws) as if they were tangible resources. While 'exploit' can have a literal meaning of using something for benefit, here it transcends physical action by implying manipulation of legal systems for personal gain, personifying laws as entities that can be 'used' in a non-physical, abstract sense.",'I'm so shocked that the President's family would exploit immigration laws for their own financial gain.'
1466,0,left,Legal and Asylum Terminology,thing,constitution,other,ditching,"The verb 'ditching' is used metaphorically to characterize the target noun 'constitution'. The action of 'ditching' typically refers to abandoning something physically, but in this context, it metaphorically conveys the idea of abandoning or violating the principles of the constitution, which is a legal and abstract concept, not a physical object. This usage transcends the literal meaning of the verb and implies a figurative act of renouncing the constitution's rules.",'This is no different than your hero Obama ditching the constitution and allowing illegals to come and stay in America.'
1537,0,left,Legal and Asylum Terminology,thing,Status,other,end,"The verb 'end' is used metaphorically to describe the termination of 'Status,' an abstract concept. While 'end' can refer to literal cessation of physical actions, here it is applied to a legal status, which is not a physical entity. The verb transcends its literal meaning by representing the formal termination of an abstract administrative designation.","'Judge blocks Trump’s efforts to end Temporary Protected Status for 300,000 immigrants - Vox'"
2509,0,left,Legal and Asylum Terminology,thing,law,other,uphold,"The verb 'uphold' is used metaphorically to describe the abstract action of supporting and enforcing the law, which transcends its literal meaning of physically holding up an object. Here, 'uphold' conveys the conceptual act of maintaining legal validity, not a physical action.","'Your job is to uphold the law, all laws, not ones you can cherry pick for your own benefit.'"
2889,0,left,Legal and Asylum Terminology,thing,rights,other,have,"The verb 'have' is used metaphorically to describe the abstract concept of 'rights,' which are not physically possessed. The verb extends beyond its literal meaning of physical possession to signify the conceptual entitlement to rights, thereby transcending its original action-oriented definition.",'Pelosi: Millions of illegal aliens have rights.'
2987,0,left,Legal and Asylum Terminology,thing,rights,other,separated,"The verb 'separated' is used metaphorically to describe the abstract relationship between 'rights' (labor rights and immigrant rights), which are conceptual entities, not physical objects. The verb does not refer to a literal physical action but instead signifies a conceptual division or disconnection between abstract ideas.",'Labor rights and immigrant rights can't be separated from each other.'
3028,0,left,Legal and Asylum Terminology,thing,asylum,other,fix,"The verb 'fix' is used metaphorically to describe the target noun 'asylum'. The verb 'fix' typically refers to repairing or correcting something broken, but in this context, it is applied to an abstract system ('asylum') rather than a physical object. This usage transcends the literal meaning of 'fix' and implies addressing systemic issues or improving processes, which is a metaphorical extension of the verb's original meaning.","'Instead, the left cont to push for open borders &amp; does ZERO to fix asylum &amp; immigration laws.'"
2223,0,left,National Security vs. Humanitarian Concerns,thing,That,other,sounds,"The verb 'sounds' is used metaphorically to describe the target noun 'That.' Literally, 'sounds' relates to auditory perception, but here it conveys an evaluative judgment about 'That,' implying it 'seems' or 'appears' like a crisis. This transcends physical action, employing the verb to characterize a conceptual or perceived quality rather than a literal sound.",'That sounds like a crisis.'
168,0,left,Political Leaders,person,Trump,force,made,"The verb 'made' is used metaphorically to indicate that Trump fulfilled his promise ('made good on his word'), which transcends its literal meaning of creating or producing something physically. Here, 'made' conveys the conceptual act of fulfilling a commitment, not a tangible action.","'Hours later, Trump made good on his word &amp; signed  proclamation directing National Guard...'"
1758,0,left,Pro-Trump Policies,thing,games,other,playing,"The verb 'playing' is used metaphorically to convey that the Trump administration is avoiding serious action or responsibility, rather than literally describing a physical act of playing games. The metaphorical use extends 'playing' to imply deceit or evasion, rather than its literal meaning of engaging in recreational activities.",'ICE raids Tennessee slaughterhouse in biggest shutdown yet and Trump admin is not playing games  #MAGA #DeportALLIllegals'
349,0,left,Public Opinion and Media Coverage,thing,media,force,love,"The verb 'love' is used metaphorically to personify 'media' as if it possesses human emotions or preferences. The action of 'loving' is not a physical act but rather an abstract representation of the media's favorable or supportive stance toward 'him,' transcending the literal meaning of the verb.",'Democrat media will love on him.'
1730,0,left,Public Opinion and Media Coverage,thing,Media,force,Refuse,"The verb 'refuse' is used metaphorically to characterize the target noun 'media'. The media, as an inanimate entity, cannot physically refuse to discuss; instead, the verb is employed to convey the media's deliberate choice or stance of avoiding discussion, which transcends its literal meaning of declining a physical action. This usage personifies the media, attributing a human-like agency to it, thereby employing metaphor.","'Silence of the Moms: Media Refuse to Discuss Angel Families, Victims of Illegal Alien Crimes the Dem's party s with Lobbyist, drinks in Puerto Rico, chase bikini clad women, while another caravan of illegals  makes its way to our border  via'"
2058,0,left,Refugees,person,they,force,fulfill,"The verb 'fulfill' is used metaphorically to describe the abstract concept of 'jihad' as something that can be 'completed' or 'achieved,' transcending its literal meaning of completing a physical task. The target noun 'they' is conceptualized as agents capable of fulfilling an ideological or spiritual goal, which is not a direct physical action.",'Maybe you should have stopped Obama from selling the weapons to help them destroy the Middle East to cause mass migration so they could fulfill their jihad.'
2761,0,right,Cato Institute,organization,Institute,other,says,"The verb 'says' is used metaphorically to personify the Cato Institute, attributing it with the ability to speak or make statements, which transcends its literal meaning of describing a physical action by a person. The Institute, as an organization, cannot literally 'say' something, but the verb is applied to represent its official stance or position, thereby implying a human-like action.",'Your own Cato Institute says it won't work.'
731,0,right,Legal and Asylum Terminology,thing,backlog,other,handle,"The verb 'handle' is used metaphorically to describe managing the backlog of 'immigration prosecutions,' which is an abstract concept rather than a physical object. The verb transcends its literal meaning of physically gripping or touching, instead conveying the idea of addressing or dealing with the backlog as a collection of tasks.",'just said DOD is now being diverted to handle the backlog of “immigration prosecutions?”'
856,0,right,Legal and Asylum Terminology,thing,way,other,presenting,"The verb 'presenting' is used metaphorically to describe the abstract act of offering a method or approach ('way') for applying for asylum, transcending its literal meaning of physically showing something. It conveys the conceptual action of articulating a method rather than a physical presentation.",'You're giving a one sided argument by presenting just one way to apply for asylum in response to my statement accurately citing the Immigration &amp; Nationality Act which provides multiple ways to do so.'
1167,0,right,Legal and Asylum Terminology,thing,decisions,other,written,"The verb 'written' is used metaphorically to describe 'decisions,' implying that the decisions are ephemeral or transient, akin to writing on water which evaporates. This transcends the literal physical action of writing, employing a metaphorical framework to convey impermanence.","'He’s simply going to neuter them, so that any decisions made by those judges might as well be written on water.""'"
1361,0,right,Legal and Asylum Terminology,thing,laws,other,changing,"The verb 'changing' is used metaphorically to describe the abstract process of altering laws, which is not a physical action. The verb transcends its literal meaning of physically modifying something to refer to the conceptual act of modifying legislative rules, thereby characterizing 'laws' through a non-physical, metaphorical action.","'Instead of using money to secure our borders, we need to focus our time &amp; energy on changing our gun laws so we can protect our citizens from terrorism by another citizen.'"
1468,0,right,Legal and Asylum Terminology,thing,Constitution,other,says,"The verb 'says' is used metaphorically to personify the Constitution as a speaker, attributing speech to an inanimate object. While the Constitution is a document, the verb 'says' implies it is actively communicating, which transcends its literal physical action and represents a conceptual metaphor of the document as an authoritative voice.",'Oh FFS even if the question is included (which it won't) illegal aliens will still be counted for apportionment because that's what the Constitution says.'
2336,0,right,Legal and Asylum Terminology,thing,Effort,other,Loses,"The verb 'loses' is applied to the abstract noun 'effort,' which cannot be physically lost. The metaphorical use here implies a non-physical loss, suggesting the effort is being wasted or not effective, rather than describing a direct physical action.",'Tug-of-Love: Immigrant Mom Loses Effort to Regain Son Given to US Parents - ABC News -  via'
2373,0,right,Media Outlets,person,You,other,mimicking,"The verb 'mimicking' is used metaphorically here. While 'mimicking' typically refers to imitating a person's actions or speech, the target noun 'You' is being characterized as adopting the style or rhetoric of Fox News talking points, which are abstract ideas, not a physical entity. This extends the verb's original meaning beyond literal imitation to a metaphorical representation of adopting a communicative style.",'You are mimicking Fox News talking points.'
2718,0,right,Media Outlets,person,who,other,outsourced,"The verb 'outsourced' is used metaphorically to describe the president's actions of delegating policy responsibilities to external entities. While 'outsourced' literally refers to contracting tasks to an external company, here it is applied to a person (the president) and non-physical entities (countries/organizations), attributing an action that transcends its literal meaning to convey the idea of transferring decision-making authority.","'We’ve a president who outsourced our Middle East foreign policy to UAE, KSA &amp; Israel, our TransAtlantic relations to Putin, our environmental policy to coal &amp; oil lobbies, our immigration policy to Brietbart, and our SCOTUS to the Federalist Society.'"
834,0,right,Pro-Trump Policies,thing,wealth,other,seems,"The verb 'seems' is used metaphorically to convey an inferred or suggested relationship between 'Trump wealth' and 'the Putin agenda,' rather than describing a direct physical action. It expresses a perception or assumption about the reliance of wealth on the agenda, transcending its literal meaning of visual or sensory perception.","'All of which is compatible with the Putin agenda (on which Trump wealth seems to rely) to defame democracy &amp; extend global reliance on fossil fuel, yes?'"
1265,0,right,Refugees,person,victim,other,playing,"The verb 'playing' is used metaphorically to describe the target noun 'victim' by implying the person is adopting the role of a victim, rather than engaging in a literal physical action. This transcends the verb's original meaning of participating in a game, instead conveying a behavioral or emotional state.","'Dude, stop playing victim here.'"
608,0,right,Societal Division and Cultural Identity,thing,fact,spatial motion,scares,"The verb 'scares' is used metaphorically to describe the emotional impact of the fact on the speaker. The 'fact' here is an abstract concept (the men's reaction), and 'scares' does not refer to a physical action but rather conveys a psychological reaction (fear or anxiety) to the social situation, transcending its literal meaning of causing physical fear.","'I today, a child of an immigrant family woman, was in a room full of privileged rich white men today and sarcastically said “it’s a really hard time for white men rn”, and the fact that they all agreed and took my comment sincerely scares the shit out me'"
2192,0,right,Societal Division and Cultural Identity,thing,pride,spatial motion,feel,"The verb 'feel' is used metaphorically to describe the emotional experience of 'pride,' which is not a physical action. 'Feel' here conveys the abstract concept of experiencing an emotion rather than a tangible, physical interaction.",'Because people naturally want to feel pride for where they were randomly born.'
2013,0,right,Tech Companies,organization,companies,spatial motion,reduce,"The verb 'reduce' is used metaphorically to describe the diminishment of an abstract capability ('ability to influence') associated with the target noun 'companies'. This transcends its literal meaning of physically decreasing something, instead conveying a conceptual decrease in influence, which is not a physical action.","'4/ ""But cutting off Trump and the GOP in this way in 2020 could reduce tech companies’ ability to influence the administration on issues like trade and immigration — both critical issues for an industry that relies heavily on Chinese manufacturing and foreign-born workers.""'"
2807,0,right,The Establishment,person,who,other,checks,"The verb 'checks' is used metaphorically to describe the target noun 'who' by implying that the person embodies or fulfills all the criteria of the failed policies, rather than describing a physical action of examining or verifying something. The metaphorical aspect lies in using 'checks' to signify alignment with predefined attributes, transcending its literal meaning of physically inspecting items.","'Why would you run against the establishment republican , who checks all the boxes of the  failed policies?'"
142,1,left,Anti-Immigration Sentiment,thing,ideas,force,getting,"The verb 'getting' is used metaphorically to describe the effect of 'ideas' on people. Literally, 'getting' refers to acquiring something, but here it conveys the idea of 'causing' or 'leading to' people's deaths, which is a non-physical action. This extends the verb's meaning beyond its literal action to imply a harmful consequence, personifying the ideas as agents of harm.",'Your libnut ideas are getting people killed!'
395,1,left,Immigrants,person,I,force,scream,"The verb 'scream' is used metaphorically to convey an intense emotional reaction rather than a physical action. The phrase 'I scream foul' does not describe a literal act of vocalizing but instead metaphorically expresses a strong sentiment or protest, transcending the verb's physical connotation.",'I scream foul.'
533,1,left,Immigrants,person,us,force,overthrow,"The verb 'overthrow' is used metaphorically to describe a strategic plan aimed at removing 'us' from power or influence, rather than referring to a literal physical action. The verb transcends its literal meaning of physically throwing something down to signify a conceptual act of defeat or displacement.",'This is a well orchestrated plan to overthrow us.'
562,1,left,Immigrants,person,they,force,produce,"The verb 'produce' is used metaphorically to describe the action of generating food, which is typically associated with agricultural processes rather than human action. Here, it attributes a physical production process to 'they' (people), implying responsibility for food creation, which transcends literal physical action.","'Meaning, they can't produce food in their countries so they're coming here.'"
944,1,left,Immigrants,person,he,force,caught,"The verb 'caught' is used metaphorically here. Literally, 'caught' refers to physically apprehending someone, but in this context, it conveys the abstract idea of 'understanding' or 'realizing' (i.e., 'caught on' as an idiom). The verb describes a mental process rather than a physical action, transcending its literal meaning to characterize 'he' as grasping the situation intellectually.","'he has caught on to you and yours real fast, you can kiss your stupid azz GOODBYE!!'"
969,1,left,Immigrants,person,you,force,ripping,"The verb 'ripping' is used metaphorically to depict the act of cheating or swindling ('ripping you off'), which transcends its literal meaning of physically tearing. It personifies the target noun 'you' as an object being exploited, rather than describing a tangible action.",'Oh right their is no line since they charge a fortune to continue ripping you off.'
1077,1,left,Immigrants,person,immigrants,force,stopping,"The verb 'stopping' is used metaphorically to personify the border as an active agent capable of halting immigrants, transcending its literal meaning of physically halting movement. The metaphor implies the border 'stops' immigrants as if it were a person, aligning with the broader metaphor of the border as a barrier that 'shuts the door' to invaders.","'No ones stopping "" immigrants"" border does t prevent one immigrants, it shuts the door to foreign invaders.'"
1162,1,left,Immigrants,person,him,force,attack,"The verb 'attack' is used metaphorically here to describe a non-physical action, implying verbal or emotional aggression rather than a literal physical act. The context of racism suggests the metaphorical use of 'attack' to characterize how 'him' is being targeted, transcending the source verb's literal meaning of physical aggression.",'isn't it racist to attack him like that?'
1541,1,left,Immigrants,person,me,force,left,"The verb 'left' is used metaphorically to indicate the result of an action on the target noun 'me', transcending its literal meaning of physical movement. It describes the state of being 'permanently injured' as a consequence, rather than a direct physical action.",'so I should go around and beat every immigrant that cost me physical harm&amp;left me permanently injured ?'
1550,1,left,Immigrants,person,immigrant,force,beat,"The verb 'beat' is used metaphorically to characterize the target noun 'immigrant' by implying a non-physical action of overcoming or defeating them, rather than describing a literal physical action. The context suggests retaliation for causing harm, but the verb transcends its literal meaning to convey a conceptual act of subjugation or punishment, not direct physical violence.",'so I should go around and beat every immigrant that cost me physical harm&amp;left me permanently injured ?'
1565,1,left,Immigrants,person,Migrants,force,exploited,"The verb 'exploited' is used metaphorically to describe the abstract concept of migrants being used for political or financial gain, rather than depicting a physical action. The verb transcends its literal meaning (which typically involves direct use or abuse) to convey a conceptual relationship of being taken advantage of, without referring to tangible physical interaction.",'Migrants have been exploited for years among many administrations for political or financial gain.'
1761,1,left,Immigrants,person,people,force,take,"The verb 'take' is used metaphorically to describe the act of accepting or handling 'people' in a non-physical sense. The phrase 'take all these people' implies an obligation to accept or manage them without questioning, rather than a literal physical action of carrying or moving them.","'We are expected to take all these people, no questions asked?'"
1838,1,left,Immigrants,person,kids,force,hurting,"The verb 'hurting' is used metaphorically to describe the media's actions towards 'kids,' implying a non-physical form of harm or negative impact. While 'hurting' typically denotes physical or emotional pain, here it is employed to signify the media's influence or effect on children, transcending its literal meaning.",'Does the media care more about hurting President Trump or finding missing immigrant kids?'
1885,1,left,Immigrants,person,you,force,lost,"The verb 'lost' is applied to the abstract concept of 'support' rather than a physical object. The action of losing is metaphorically extended to describe the termination of emotional or relational support, transcending its literal meaning of physical loss.","'Yeap, you lost my support.'"
1963,1,left,Immigrants,person,they,force,kill,"'Kill' is used metaphorically here to describe the act of causing harm or destruction to 'American people,' transcending its literal meaning of physical death. The verb 'kill' is applied to 'they' (the Democrats' supporters) as a metaphor for their actions that are detrimental or harmful to Americans, implying a figurative elimination or undermining rather than a literal physical action.",'Democrat's people all over the news they give many American's dollars to for their comfort rights while they kill off American people.'
1993,1,left,Immigrants,person,them,force,USE,"The verb 'USE' is applied to the target noun 'them' in a non-physical, abstract sense, implying the exploitation of individuals as a means to achieve a political or economic goal (free-market). This transcends the literal physical action of using an object, instead employing the verb metaphorically to characterize 'them' as a tool or resource.",'Their parents CHOSE to exploit our immigration system and USE them to gain  should be free-market which would drive down cost-socialized medicine would sink country'
2020,1,left,Immigrants,person,people,force,own,"The verb 'own' is used metaphorically to denote exerting control or dominance over 'people,' transcending its literal meaning of legal possession. It implies a metaphorical 'ownership' of others' actions or autonomy, reflecting power dynamics rather than physical action.",'Why is it that Dems always want to own people?'
2135,1,left,Immigrants,person,father,force,exploiting,"The verb 'exploiting' is used metaphorically to describe the media's actions toward the father, implying they are using his tragic situation for their own advantage. This transcends a physical action, as it involves a metaphorical extension of the verb's meaning to convey manipulation rather than a literal physical act.",'It's time the media stopped exploiting the migrant father &amp; daughter who drowned in Rio Grande - coming up with every excuse possible for his crossing.'
2309,1,left,Immigrants,person,them,force,bail,"The verb 'bail' is used metaphorically to represent providing financial support or rescue, rather than its literal meaning of releasing someone from jail. The target noun 'them' is personified as needing external assistance, which extends beyond the physical action of the verb.",'Will the Rest of us have to bail them out some Day?!'
2796,1,left,Immigrants,person,he,force,blown,"'Blown up' is used metaphorically to describe the action of 'he', implying a figurative destruction or explosion rather than a literal physical action. The verb transcends its literal meaning (explosive destruction) to convey a metaphorical state or action related to 'he', likely suggesting emotional intensity or conceptual collapse rather than a physical event.",'If he would have blown up and AI factory we'
2858,1,left,Immigrants,person,us,force,enslaving,The verb 'enslaving' is used metaphorically to describe a non-physical form of control or oppression ('us') rather than literal bondage. The source verb's original meaning (physical enslavement) is transcended to convey a figurative sense of subjugation without direct reference to physical action.,'Matter of fact... you’re enslaving us Americans!'
3093,1,left,Immigrants,person,I,force,lost,"The verb 'lost' is used metaphorically to describe the speaker's mental state of confusion or disorientation rather than a physical action. It conveys a lack of understanding or direction in the context, transcending its literal meaning of being physically misplaced.",'So treat them like animals but not us I’m totally lost here ONLY AMERICANS SHOULD BE CHIPPED BECAUSE WE BELIEVE IN EBOLUTION AND NEED TO EVOLVE Technology is the future stop living in the past ID is a good thing who wants to carry an ID 👍'
3101,1,left,Immigrants,person,criminals,force,executed,"The verb 'executed' is used metaphorically to describe the action of dealing with criminals, transcending its literal meaning of carrying out a death sentence. Here, 'executed' implies a form of punishment or removal (e.g., deportation or legal action) rather than a physical act of killing, aligning with metaphorical usage to characterize the target noun 'criminals' as being 'processed' or 'eliminated' in a systemic context.","'Immigrants who received zero welfare, criminals were executed and those who couldn’t make it on their own got sent back.'"
3113,1,left,Immigrants,person,Immigrants,force,executed,"The verb 'executed' is used metaphorically to characterize 'immigrants' by implying a form of punishment or removal, which transcends its literal meaning of carrying out a death sentence. The context suggests a metaphorical use where 'executed' symbolizes the harsh treatment or expulsion of immigrants, rather than a physical execution.","'Immigrants who received zero welfare, criminals were executed and those who couldn’t make it on their own got sent back.'"
3114,1,left,Immigrants,person,they,force,contribute,"The verb 'contribute' is used metaphorically to describe the role of 'they' in exacerbating the problem of garbage in America. It transcends its literal meaning of physically adding something, instead implying their involvement in increasing the issue, akin to personification or conceptualization of their impact.","'America is now being flooded by garbage, how much do you think they will contribute to the US?'"
259,1,left,International Relations,thing,machinations,force,triumph,"The verb 'triumph' is used metaphorically to describe the outcome of 'machinations' (cunning plans/schemes), attributing a characteristic of victory to an abstract concept. This transcends its literal meaning of achieving physical victory, instead implying the plans will succeed in a non-physical, abstract sense.","'I saw the UN (and EU)“Pacts” for their power grabs, but Polly has provided the legal manner through which their machinations will triumph, turning millions of migrants into UN citizens with rights, thus draining all nations who signed of resources &amp; sovereignty!'"
35,1,left,U.S. Government,organization,they,spatial motion,follow,"The verb 'follow' is used metaphorically to describe the government's adherence to immigration loopholes, which are abstract legal concepts. The action of 'following' here does not refer to a physical movement but rather to complying with or adhering to the loopholes, transcending the literal meaning of the verb.",'The emergency at the border requires the Fed Govt to rethink how they follow immigration loopholes.'
302,1,left,U.S. Government,organization,government,spatial motion,open,"The verb 'open' is used metaphorically to describe the government, implying the act of making the government more transparent, accessible, or participatory. This transcends its literal physical action of opening an object, instead conveying an abstract conceptual action related to governance.","'You dens say open the government today, discuss security tomorrow.'"
108,1,right,Immigrants,person,He,force,spews,The verb 'spews' is used metaphorically to describe the abstract concepts of 'hate' and 'distrust' as if they were physical substances being forcefully ejected. This transcends the literal meaning of 'spew' (which refers to physical ejection) and instead personifies the target noun 'He' by attributing a tangible action to intangible emotions.,'He spews more hate &amp; distrust of immigrants &amp; people “not like him” than anyone I have ever seen.'
540,1,right,Immigrants,person,immigrants,force,take,"The verb 'take' is used metaphorically to characterize 'immigrants' as displacing or competing for jobs, which transcends its literal meaning of physically removing something. The metaphorical aspect involves representing the economic impact of immigration as an action (taking jobs) that isn't a direct physical act.","'Of all the RIDICULOUS shit you just spewed, the most ridiculous is2 say immigrants take away jobs from Americans.'"
953,1,right,Immigrants,person,immigrants,force,terrorize,"The verb 'terrorize' is used metaphorically to describe the legal system's impact on immigrants, transcending its literal meaning of causing physical terror. It conveys the emotional and psychological effect of the legal maze, implying instillation of fear without a direct physical action.",'One explanation of the legal maze being used to terrorize immigrants and their children.'
1040,1,right,Immigrants,person,adults,force,force,"The verb 'force' is used metaphorically to indicate compelling the adults to work against their will, transcending its literal meaning of physical coercion. The context suggests economic exploitation rather than direct physical action, aligning with metaphorical usage where the verb signifies a broader conceptual action of compulsion rather than a literal physical act.",'Trump Gov't is paying private prisons running the 'detention centers' $775/day per immigrant to force the adults to work for $1/day and profiting off their work.'
1225,1,right,Immigrants,person,themselves,force,love,"The verb 'love' is used metaphorically to convey an emotional or psychological state toward 'themselves,' transcending its literal physical action. It implies an abstract relationship of care or attachment rather than a tangible, physical act.","'We taught them to love themselves,  the fossil money helped....😇'"
1241,1,right,Immigrants,person,immigrants,force,contribute,"The verb 'contribute' is used metaphorically to describe the abstract role of immigrants in society, transcending its literal meaning of adding physical or tangible value. It implies a conceptual contribution (e.g., economic, cultural) rather than a direct physical action.","'I’ll agree that foreign subsidies &amp; immigration policies desperately need updating but, long-term immigrants contribute more than they take.'"
1249,1,right,Immigrants,person,they,force,take,"The verb 'take' is used metaphorically to represent the abstract concept of receiving benefits or resources from a system, rather than describing a physical action. It personifies 'they' (long-term immigrants) as entities that 'take' from the system, implying a figurative exchange rather than literal possession.","'I’ll agree that foreign subsidies &amp; immigration policies desperately need updating but, long-term immigrants contribute more than they take.'"
1302,1,right,Immigrants,person,you,force,left,"The verb 'left' is used metaphorically to describe the action of abandoning or discarding 'truth and justice' rather than a physical movement. It transcends its literal meaning of departing from a place to convey the idea of leaving behind abstract values, implying that 'you' are responsible for their absence.","'Superman believes in truth and justice, things that assholes like you left behind.'"
1373,1,right,Immigrants,person,immigrants,force,targeting,"The verb 'targeting' is used metaphorically to describe the intent or policy directed towards 'immigrants,' transcending a literal physical action. It conveys a conceptualized action of directing efforts or strategies against a group, rather than describing a tangible, physical act of targeting.","'A man whose legacy is targeting immigrants, re-waging the failed War on Drugs, sucking-up to private prison profiteers, and...  Sessions…'"
1410,1,right,Immigrants,person,immigrants,force,treated,"The verb 'treated' is used metaphorically to describe how immigrants are being handled, comparing them to 'cattle' to convey dehumanization. This transcends its literal meaning of physically handling someone, instead implying a conceptual or abstract form of treatment.",'I do think ICE should be trained and or policies changed to make immigrants treated as human beings and not cattle.'
1428,1,right,Immigrants,person,immigrants,force,help,"The verb 'help' is used metaphorically to characterize 'immigrants' as agents in a systemic process of eliminating the middle class. The action of 'helping' transcends its literal meaning of physical assistance, instead implying a role in an abstract political/economic dynamic, where immigrants are portrayed as contributors to a systemic shift (giving up money to create dependence) rather than performing a direct physical task.",'They want immigrants to help eliminate the middle class by giving up our hard earned money thus making us also dependent upon the gov’t.'
1449,1,right,Immigrants,person,immigrants,force,compete,"The verb 'compete' is used metaphorically to describe the economic rivalry between immigrants and high-wage workers. It does not refer to a physical action but rather conceptualizes immigrants as participants in a labor market competition, implying a metaphorical 'contest' for job opportunities rather than a literal one.",'You want more high wage immigrants to compete with high wage workers instead of poorer ones.'
1585,1,right,Immigrants,person,me,force,take,"The verb 'take' is used metaphorically to signify the duration required to learn something, rather than describing a physical action. The phrase 'take me long' conveys the concept of time spent, which is a metaphorical extension of the verb beyond its literal meaning of physically taking something.","'As an immigrant child, it did not take me long to learn what “Cock” means but it did take me too long to know what “cockfighting” is.'"
1618,1,right,Immigrants,person,me,force,take,"The verb 'take' is used metaphorically here to indicate the time required to learn something, rather than describing a physical action. The phrase 'take me long' extends the source verb's original meaning (physically grasping) to convey a duration, which is a metaphorical use of the verb.","'As an immigrant child, it did not take me long to learn what “Cock” means but it did take me too long to know what “cockfighting” is.'"
1799,1,right,Immigrants,person,they,force,forced,"The verb 'forced' is used metaphorically to indicate that the settlers were compelled by external pressures (e.g., legal, moral, or societal) to stop treating Africans as property. This transcends the literal physical action of applying force, instead conveying a conceptual compulsion without direct physical interaction.",'Settlers who bought Africans for free labor until they were forced to stop treating them like property?'
