,cluster,target_group,source_image_schema_group,source_word,target_word,llm_expl,tweet
1008880417582305280_1_17_19,1,Immigration Policy,spatial motion,sign,KeepFamiliesTogetherAct,"The verb 'sign' is used metaphorically to represent supporting or endorsing the 'KeepFamiliesTogetherAct' rather than referring to the physical act of writing one's name on a document. The context frames 'sign' as a metaphor for participation in a cause, transcending its literal meaning.",'This is not going to go away until  stops it or YOU joing with Dem's to sign #KeepFamiliesTogetherAct #NotInMyName #Immigration #FamiliesBelongTogether'
1169831633937039361_2_2_3,1,National Security vs. Humanitarian Concerns,spatial motion,sign,something,"The verb 'sign' is used metaphorically to represent the act of agreeing to the terms of a document, rather than the literal physical action of writing one's name. The metaphorical aspect lies in using 'sign' to imply acceptance of the consequences or conditions associated with the target noun 'something'.",'Dont sign something that gives the UN the right to dictate immigration policy in America.'
1068597145433911296_2_8_6,1,Other,spatial motion,stick,you,"The verb 'stick' is used metaphorically to describe the abstract concept of unity or solidarity among people. Literally, 'stick' refers to physical attachment, but here it conveys the idea of staying together as a group, transcending its original meaning to characterize the target noun 'you' as part of a collective action.",'The ppl can do something if you all stick together!'
971066802867490819_1_4_3,1,Political Rhetoric and Partisan Debate,other,combine,tendencies,"The verb 'combine' is used metaphorically to describe how abstract political tendencies are merged, transcending its literal physical action. Tendencies are not tangible entities, yet 'combine' is applied to them, implying a conceptual mixing rather than a physical process.","'The rising political tendencies combine lavish spending from the left with racially charged immigrant restrictions from the right.""'"
1084556699065757696_3_0_2,1,Societal Division and Cultural Identity,other,Lumping,that,"The verb 'lumping' is used metaphorically to describe the act of grouping abstract or conceptual elements ('that') into a single category, transcending its literal physical action of gathering objects. The metaphorical use here conveys a judgment about the cognitive or analytical process, rather than a direct physical action.",'Lumping all that together is ignorant and damaging.'
985259212325335040_0_3_4,1,Undocumented Immigrant Communities,force,arm,America,"The verb 'arm' is used metaphorically to describe the act of equipping or preparing 'America' for a perceived threat, transcending its literal meaning of providing physical weapons. Here, 'arm' symbolizes empowering or fortifying the nation, implying a non-physical action of readiness or defense against social fears, rather than literal military equipment.","'The need to arm America was fueled by fear of minorities, now immigrants.'"
1058166859722305536_1_3_4,2,Border Control and Security,other,trumps,military,"The verb 'trumps' is used metaphorically to characterize 'military' by implying an action of surpassing or overriding, which transcends its literal meaning of defeating in a competition. Here, 'trumps military' suggests the military's authority or power is being metaphorically 'trumped' (overcome) in a non-physical context, rather than describing a direct physical action.",'Don’t allow trumps military to shoot down unarmed families that have come seeking asylum.'
982439592279334912_0_0_2,2,Border Security Advocates,spatial motion,Leading,Hawk,"The verb 'Leading' is used metaphorically to characterize the target noun 'Hawk' by implying a role or behavior (aggressively pursuing immigration enforcement) rather than a physical action. It personifies the 'Hawk' as an entity actively leading efforts, transcending its literal meaning of guiding or directing physically.",'Leading Immigration Hawk: Justice Department's 'Zero-Tolerance' Policy At Southwest Border Is 'Significant''
1076175060333928451_0_18_4,2,Immigration Policy,other,represented,stream,"The verb 'represented' is used metaphorically to depict the 'stream' as a symbol for a bombardment, transcending its literal meaning of presenting something as a symbol. The stream's continuous flow is metaphorically linked to the overwhelming force of a bombardment, personifying the administrative actions as an aggressive, relentless force.","'""...a relentless stream of administrative memos and changes in regulation and enforcement, [2018] represented a government bombardment on virtually every type of #immigration ..."" :'"
1076175060333928451_0_18_21,2,Immigration Policy,other,represented,bombardment,"The verb 'represented' is used metaphorically to equate the administrative actions (stream of memos) with the concept of a 'bombardment,' implying an overwhelming, forceful impact rather than describing a physical action. The metaphorical aspect lies in the conceptual equivalence between the verb's action (representing) and the target noun's metaphorical meaning (bombardment as a metaphor for intense pressure).","'""...a relentless stream of administrative memos and changes in regulation and enforcement, [2018] represented a government bombardment on virtually every type of #immigration ..."" :'"
1109361370020098050_4_2_0,2,Political Figures,other,campaign,They,"The verb 'campaign' is used metaphorically to describe the abstract action of advocating or promoting a cause ('illegal aliens') rather than a literal physical action. The metaphorical aspect lies in extending the source verb's original meaning (organized effort) to represent political or social advocacy, which transcends direct physical action.",'They only campaign for illegal aliens…'
1158034798646112257_1_1_0,2,Political Figures,other,invited,He,"The verb 'invited' is used metaphorically to describe 'He' as causing or bringing about 'this horror,' transcending its literal meaning of formally requesting someone's presence. The metaphorical aspect lies in personifying 'horror' as something that can be 'invited,' implying an abstract action rather than a physical one.",'He invited this horror all the time.'
1161443849677488131_3_1_0,2,Political Figures,other,idiot,You,"The verb 'idiot' is used metaphorically here to personify or label the target noun 'You' as someone lacking intelligence, transcending its literal meaning of a physical action. It serves as an evaluative metaphor, attributing a negative quality to the noun rather than describing a tangible action.","'You idiot leftists want THAT life, move to Mexico, Central or South America.'"
1103311017281503234_0_18_19,2,Republican Party,force,trump,&amp,"The verb 'trump' is used metaphorically to describe the action of surpassing or outmaneuvering the GOP (Grand Old Party), an abstract political entity. The verb transcends its literal meaning of a physical action (e.g., playing cards) to convey a strategic or political dominance over an organization, implying an attempt to dominate or overshadow the GOP in a non-physical context.","'#Texas hears the deafening silence of   Abbott uses the border as an opportunity to ingratiate himself to trump &amp; GOP   Immigration may be federal, but the problems are in Texas'"
1058166859722305536_0_9_10,2,Republican Party,other,trumps,army,"The verb 'trumps' is used metaphorically to denote a powerful, organized group (likely referring to Trump's political supporters or base) rather than a literal military force. The phrase 'trumps army' personifies an abstract collective as a military entity, transcending the verb's literal meaning of surpassing in competition.",'Women if America stand between these migrant families and trumps army with their guns.'
1164942418061303808_0_16_15,2,Republican Party,spatial motion,started,that,"The verb 'started' is used metaphorically to describe the beginning of an abstract concept ('that' refers to an iteration of the Republican party). The verb does not describe a physical action but instead signifies the onset of an abstract process or phase, personifying the target noun as something that can have a commencement.",'He helped usher in one of the most anti-immigrant iterations of the Republican party and that started before Trump.'
1073230738189901824_1_30_31,3,Anti-Immigration Sentiment,spatial motion,turning,millions,"The verb 'turning' is used metaphorically to describe the transformation of 'millions of migrants' into 'UN citizens with rights,' implying a process of conversion or change in legal status rather than a physical action. The metaphorical aspect lies in the conceptualization of 'turning' as a means to alter the status or identity of individuals, rather than describing a literal rotational or physical action.","'I saw the UN (and EU)“Pacts” for their power grabs, but Polly has provided the legal manner through which their machinations will triumph, turning millions of migrants into UN citizens with rights, thus draining all nations who signed of resources &amp; sovereignty!'"
1030132097808130053_1_10_9,3,Citizens,spatial motion,turn,they,"The verb 'turn' is used metaphorically to represent the passage of time and the attainment of a specific age (18), rather than describing a physical action. The action of 'turning' here does not involve any tangible rotation or physical movement but instead signifies the abstract concept of aging.",'The child can exercise their right to citizenship when they turn 18.'
1102739774882881536_0_7_5,3,Citizens,spatial motion,turning,youth,"The verb 'turning' is used metaphorically to describe the target noun 'youth' as shifting towards drugs, representing a behavioral or directional change rather than a physical action. The metaphorical aspect lies in the conceptualization of 'youth' as entities capable of 'turning' (a direction/action) towards a choice (drugs), transcending its literal physical meaning.",'Its no surprise our youth are turning to drugs.'
1076260698785640449_1_2_4,3,Other,spatial motion,turn,country,"The verb 'turn' is used metaphorically to describe the transformation of the country into a negative state ('shithole'). It transcends its literal physical action of rotating and instead signifies a metaphorical change or alteration of the country's condition, implying a process of degradation or conversion.",'How to turn a country into a shithole!'
1027680809816342528_1_6_5,3,Political Leaders,spatial motion,turn,he,"The verb 'turn' is used metaphorically to describe the transformation of Philadelphia into a Sanctuary City, implying a conceptual or policy-based change rather than a physical action. The source verb 'turn' transcends its literal meaning of rotating or changing direction to signify a conversion or reclassification of the city's status.",'He was very happy when he turn Philadelphia into a Sanctuary City.'
1158439765429182466_4_10_1,3,Political Leaders,spatial motion,turn,you,"The verb 'turn' is used metaphorically to describe the action of avoiding or ignoring a difficult situation or responsibility. Instead of referring to a physical movement of the head, it conveys the abstract idea of refusing to confront a problem, which is a non-physical action.",'And you and the rest of the feckless GOP cowards turn your heads.'
1027680809816342528_1_6_7,3,Sanctuary States and Cities,spatial motion,turn,Philadelphia,"The verb 'turn' is used metaphorically to signify transforming Philadelphia into a Sanctuary City, transcending its literal meaning of physical rotation. It conveys a conceptual change in the city's status rather than a physical action.",'He was very happy when he turn Philadelphia into a Sanctuary City.'
988110321092038656_1_6_5,3,Undocumented Immigrants,spatial motion,turn,illegals,"The verb 'turn' is used metaphorically to describe the action of converting or transforming 'illegals' into something else, which transcends its literal physical action of rotating. The context implies a conceptual transformation rather than a direct physical act.","'i still don't buy illegals turn illegals in if we leave them alone , if that were the case they'd all be gone, now would they not?'"
1086048779088904193_0_35_36,3,Undocumented Immigrants,spatial motion,Turn,Themselves,"The verb 'turn' is used metaphorically to describe the act of surrendering or handing oneself over to authorities. The physical action of 'turning' is not directly involved; instead, it symbolizes the conceptual act of 'turning oneself in' as a metaphor for surrender, which transcends the literal meaning of the verb.",'They're not stopping unless we do Border Security and a wall sad for them &amp; sad for us Great for smugglers $$$$$$   Report: Nearly 250 Illegal Aliens Turn Themselves In to Border Patrol in N.M. After Dire Smuggling Operation    via'
1086048779088904193_0_35_34,3,Undocumented Immigrants,spatial motion,Turn,Aliens,"The verb 'turn' is used metaphorically to describe the action of 'turning oneself in,' which refers to surrendering or submitting to authorities. This transcends the literal physical action of rotating and instead conveys a figurative meaning related to compliance or capitulation, personifying the aliens' action of surrender.",'They're not stopping unless we do Border Security and a wall sad for them &amp; sad for us Great for smugglers $$$$$$   Report: Nearly 250 Illegal Aliens Turn Themselves In to Border Patrol in N.M. After Dire Smuggling Operation    via'
1143936202342576128_0_4_5,3,United States,spatial motion,turn,America,"The verb 'turn' is used metaphorically to describe the transformation of 'America' into a socialist nation. The source verb 'turn' (originally meaning to rotate physically) is applied to a country, implying a figurative 'change in direction' or 'conversion' rather than a literal physical action. This usage transcends its literal meaning to convey a conceptual shift in political ideology.",'Democrats are conspiring to turn America into a socialist nation in order to better control the population.'
1036734590797328384_1_7_5,3,United States,spatial motion,turn,America,"The verb 'turn' is used metaphorically to personify 'America' as a human entity capable of physically turning their head. This transcends the literal meaning of 'turn' (a physical rotation) by attributing a human action to a nation, thereby implying a metaphorical 'direction' or 'orientation' of intent rather than a literal physical movement.","'Now, the father wants America to turn their heads and not make her death political.'"
1032047342445387776_3_9_6,3,United States,spatial motion,TURNED,COUNTRY,"The verb 'TURNED' is used metaphorically to describe the country being 'turned inside out,' which signifies a conceptual reversal or upheaval rather than a literal physical action. The phrase employs a physical verb to metaphorically convey a state of being thoroughly disrupted or inverted, transcending its literal meaning of rotation.",'WE PATRIOTS REFUSE TO ALLOW OUR COUNTRY TO BE TURNED INSIDE OUT WE WILL RISE TO DEFEND WILL NOT BE PUSHED'
1161442943296655361_0_44_42,4,Anti-Immigration Sentiment,other,show,what,"The verb 'show' is used metaphorically to characterize 'what' as actions that will reveal or expose Trump's true nature (racism, obstruction, etc.). It transcends its literal meaning of physically displaying something, instead implying a conceptual revelation through actions, which is a metaphorical extension of the verb's usage.",'Trump admin :   - Destroying the environment   - Caging children  - targeting legal migrants   - Racism   - packing federal courts with       radicals  - Obstructing Justice  - undermining democracy   - Tax cuts for the rich/ Deficit ⬆️  Liberals : *we know what will show him!*'
1152310219206266880_0_2_0,4,Anti-Immigration Sentiment,other,SHOWS,WHAT,"The verb 'SHOWS' is used metaphorically to attribute an active, revealing role to the abstract concept 'WHAT', which is not a physical entity. This personification of 'WHAT' as an agent capable of demonstrating or revealing information transcends its literal meaning of describing a physical action.",'WHAT ALSO SHOWS DEMS ARE USING ILLEGALS AS PAWNS IS THAT THE DETENTION CENTERS wERE BUILT BY OBAMA ADMIN &amp; DEMS SAID NOTHING!!!!!!!!'
1102668672638832641_4_4_1,4,Border Control and Security,other,indicates,lack,"The verb 'indicates' is used metaphorically here, as it attributes the action of indicating (a conceptual process) to the noun 'lack', which is not a physical entity. The 'lack of support' is conceptualized as a sign or signal (a metaphorical extension of the verb 'indicates') that conveys the speaker's attitude, rather than describing a literal physical action.",'Your lack of support indicates you don’t think there is a problem on our Southern Border.'
1052848127424811009_2_3_1,4,Immigrants,other,show,u,"The verb 'show' is used metaphorically to convey the idea of making people aware or illustrating the magnitude of the issue, rather than describing a physical action. It transcends its literal meaning of displaying something tangibly, instead implying a conceptual or emotional revelation.","'if u could show this all over America,they could see 4 themselves the magnitude of it criminals,kids not really w/family Cartels way getting em here.'"
1023056050704924673_0_3_16,4,Major Media Networks,other,show,CNN,"The verb 'show' is used metaphorically to indicate that the records are revealing or indicating the existence of allegations, rather than physically displaying them. This transcends the literal action of showing something, instead using the verb to describe the abstract act of indicating information, which is a metaphorical extension of its original meaning.",'Report: Records show scores of allegations of sexual misconduct at shelters for immigrant kids - CNN'
1054515900550995968_2_7_6,4,Political Parties,other,show,selves,"'Show' is used metaphorically here to represent the revelation of the abstract concept of 'selves' (one's true nature or character), transcending its literal physical action of displaying something tangible. The verb conveys the idea of revealing an internal, non-physical aspect of the target noun.",'GOP continues to let their true selves show.'
1112815529516023809_1_3_0,4,Political Rhetoric and Partisan Debate,other,show,History,"The verb 'show' is used metaphorically to characterize 'History' by implying that history will 'reveal' or 'demonstrate' an image, transcending its literal physical action. History, as an abstract concept, cannot physically show a picture, so the verb is employed to convey a conceptual or figurative action rather than a literal one.",'History will certainly show a picture of a RINO pile!'
1096523119248982017_0_6_7,4,Public Opinion and Media Coverage,other,shows,something,"The verb 'shows' is used metaphorically to convey the idea of revealing or demonstrating information about voters, transcending its literal physical action of displaying an object. Here, 'shows' represents the conceptual act of making something evident, rather than a direct physical interaction with the target noun 'something'.","'Yes, and it really clearly shows something about voters.'"
1096523119248982017_0_6_3,4,Public Opinion and Media Coverage,other,shows,it,"The verb 'shows' is used metaphorically to describe the abstract action of conveying information or revealing characteristics about voters. It transcends its literal physical action of displaying something tangible, instead attributing an abstract, conceptual process to the target noun 'it', which likely refers to an abstract entity like a document or statement.","'Yes, and it really clearly shows something about voters.'"
1089422749385187328_0_8_10,5,Anti-Immigration Sentiment,spatial motion,finds,deal,"The verb 'finds' is used metaphorically to describe the process of identifying or locating an abstract concept (the immigration deal) rather than a physical object. The metaphorical aspect lies in using a verb typically associated with physical discovery to characterize the abstract political agreement, implying the act of uncovering or recognizing the deal's existence and terms.","'Kushner, a confident negotiator says Sanders, finds immigration deal that asks for billions to waste on an easily scaled steel wall that will rust away and not keep out other skin color people baffling.'"
1163521687750451200_0_11_13,5,Economic Impact,other,find,evidence,"The verb 'find' is used metaphorically to denote the discovery or establishment of evidence through analysis rather than a physical action. In this context, 'find' signifies identifying evidence through research and data analysis, not locating it in a tangible sense.","'Using bilateral data on migration across US metro areas, we find strong evidence that increasing house price and income inequality has reduced long distance migration, the type most linked to jobs.'"
978841816895193089_5_8_9,5,Economic Impact,spatial motion,found,something,"The verb 'found' is used metaphorically to describe the action of discovering 'something better,' which is an abstract concept rather than a physical object. The use of 'found' here transcends its literal meaning of locating a tangible item, implying a realization or identification of an intangible improvement, thus indicating metaphorical usage.",'It makes the joy of knowing that they found something better'
1106323872650014721_1_25_24,5,Government Officials,spatial motion,finds,he,"The verb 'finds' is used metaphorically to describe the action of determining or concluding that an entry would be detrimental, rather than referring to a physical act of locating something. The verb transcends its literal meaning of 'locating physically' to convey a cognitive or administrative judgment.","'CALL 202-456-1111  &amp; request he do an EO now  Title 8 Section Code 1182F power to suspend ENTRY of all aliens whenever he finds their entry would ""be detrimental to the interests of the US""'"
1154419284300488705_1_11_9,5,Immigrants,other,finding,I,"The verb 'finding' is used metaphorically to describe the process of discovering common ground, which is an abstract concept representing agreement. The action of 'finding' here does not refer to a physical action but rather to the metaphorical act of identifying shared perspectives, transcending its literal meaning of locating something tangible.",'Hell must've froze over if Ann &amp; I are finding common ground on the H1B visa scam.'
970690005051084800_1_13_15,5,Immigration Policy,other,finding,solution,"The verb 'finding' is used metaphorically to describe the process of discovering an abstract solution, transcending its literal meaning of physically locating an object. The action of 'finding' here represents the conceptual effort to identify a solution, which is not a physical action.",'All of Congress of both parties have failed the American people by not finding a solution to #ProtectDreamers....'
1145803242233880577_5_0_2,5,Other,other,Find,soul,"The verb 'find' is used metaphorically to describe the abstract concept of discovering one's soul, which is not a physical entity. The verb transcends its literal meaning of locating a tangible object and instead conveys an internal, abstract process of self-realization.",'Find your soul.'
1031873183178272768_0_18_2,5,Other,other,discovered,team,"The verb 'discovered' is used metaphorically to describe the team's intellectual process of uncovering historical information about migration patterns, rather than referring to a physical action of finding tangible objects. The metaphorical aspect lies in applying the source verb (discovery) to abstract knowledge rather than a literal physical act.","'An international team of researchers from Tel Aviv University, the Israel Antiquities Authority and Harvard University has discovered that waves of migration from Anatolia and the Zagros...'"
1035031254620626949_2_7_0,5,Other,spatial motion,found,Employers,"The verb 'found' is used metaphorically to describe the realization or discovery of a state (employment pool shrinking) rather than a physical action. The target noun 'Employers' is not being physically located, but the verb conveys an abstract understanding of a situation resulting from deportations, transcending its literal meaning of locating a physical object.",'Employers who took advantage of illegal immigrants found their employment pool shrink with deportations and voluntary repatriates.'
1154419284300488705_1_11_13,5,Political Rhetoric and Partisan Debate,other,finding,ground,"The verb 'finding' is used metaphorically to describe the process of discovering shared opinions or interests ('common ground'), which transcends its literal meaning of physically locating something. Here, 'finding' characterizes an abstract conceptual process rather than a physical action.",'Hell must've froze over if Ann &amp; I are finding common ground on the H1B visa scam.'
1116166243197890561_2_6_8,5,Political Rhetoric and Partisan Debate,other,find,elections,"The verb 'find' is used metaphorically to describe 'elections,' implying that elections are something that needs to be discovered or located, which transcends their actual nature as organized political processes. The literal action of 'finding' does not apply to elections, which are not physical entities to be searched for.",'You will use tax dollars to find your elections'
1033153957118599168_1_18_20,6,Anti-Immigration Sentiment,force,control,vote,"The verb 'control' is used metaphorically to describe the abstract act of influencing or manipulating the 'vote' as a process or system, rather than referring to a physical action. The context suggests exerting power over the voting process through corruption, which transcends the literal meaning of 'control' as a tangible action.","'this is what happens when your power hungry, u need more illegals coming into the country to control the vote"" they are corrupt, and have no conscience, they could care less,  to get more illegal scum in.'"
1066838669645017089_0_3_5,6,Border Control and Security,force,controlling,immigration,"The verb 'controlling' is used metaphorically to describe the management of immigration as a process, not a physical action. Immigration is not a tangible entity that can be 'controlled' in a literal sense (e.g., physically restraining people), but the verb is applied to abstractly characterize the exercise of authority over a policy or system, transcending its literal meaning of direct physical control.","'Trump is ""controlling"" immigration so well that we have them all in prisons....his billionaire colleagues making money off prisons!'"
1161442943296655361_0_8_19,6,Federal Courts,spatial motion,Caging,courts,"The verb 'caging' is used metaphorically to describe the act of restricting the freedom or autonomy of children, rather than referring to a literal physical action of confining them in a cage. The metaphor conveys the idea of imposing control or limitation on the children's movement or rights, aligning with the context of political policies discussed in the sentence.",'Trump admin :   - Destroying the environment   - Caging children  - targeting legal migrants   - Racism   - packing federal courts with       radicals  - Obstructing Justice  - undermining democracy   - Tax cuts for the rich/ Deficit ⬆️  Liberals : *we know what will show him!*'
1122548193844060160_1_6_7,6,Immigrant Families,spatial motion,caging,children,"The verb 'caging' is used metaphorically to describe the restriction or confinement of children, implying a non-physical act of limiting their freedom or subjecting them to harsh conditions. The source verb 'caging' (originally referring to physical confinement) is applied to 'children' to characterize a metaphorical act of control or oppression, rather than a literal physical action.","'Obama's was the administration of caging children, deporting poor people just trying for a better life &amp; despite having majorities in both houses, refused to pass comprehensive immigration reform.'"
1075304684355813376_1_3_0,6,International Relations,force,managed,#migration,"The verb 'managed' is used metaphorically to describe the abstract process of #migration, implying control or handling of a complex social issue rather than a physical action. The metaphorical aspect lies in applying a verb typically associated with tangible control to an intangible phenomenon, suggesting governance or policy intervention rather than literal physical management.","'#migration could be managed by cooperation says  Africa, Europe ties should be mutually beneficial – Kagame  via'"
1075304684355813376_1_3_5,6,International Relations,force,managed,cooperation,"The verb 'managed' is applied to the abstract concept 'cooperation', transcending its literal meaning of controlling a physical entity. This metaphorical use attributes an action (management) to an abstract noun, implying that cooperation can be guided or directed as if it were a tangible object, which is a metaphorical extension of the verb's original meaning.","'#migration could be managed by cooperation says  Africa, Europe ties should be mutually beneficial – Kagame  via'"
1067105564554072065_2_2_3,6,U.S. Government,force,control,government,"The verb 'control' is used metaphorically to describe the abstract influence or authority Democrats exert over the government's actions, transcending its literal meaning of direct physical management. This metaphorical use conveys the idea of governing or directing policies rather than a tangible, physical act.","'If Democrats control government they will allow poverty to grow, knowing it creates dependency &amp; that = votes.'"
1037097599008792576_2_6_1,6,United States,force,forced,state,"The verb 'forced' is used metaphorically to personify the state of Texas as an active agent capable of compelling action, transcending its literal meaning of applying physical force. The state, as a political entity, is portrayed in human terms, implying intentional agency rather than describing a direct physical action.",'The state of Texas has effectively forced schools to drop their programs:'
980810105200488448_0_9_6,7,Anti-Immigration Sentiment,spatial motion,backed,invasion,"The verb 'backed' is used metaphorically to personify the abstract concept of 'invasion' as an entity that can be supported or sustained, transcending its literal meaning of providing physical or financial backing. The metaphorical aspect lies in attributing a physical action (supporting) to a non-physical, metaphorical target (the invasion).","'This "" without borders"" migrant invasion must be backed by George Soros....to overwhelm and collapse our system.'"
1007275772950827009_2_29_26,7,Immigrants,spatial motion,invaded,we,"The verb 'invaded' is used metaphorically to describe the target noun 'we' as being subjected to an intense, perceived threat. It does not refer to a literal physical invasion but instead conveys a heightened sense of danger or urgency, personifying the situation as an external attack.","'If Trump were really the demon you say he is, he'd do what SHOULD be done and order Border Patrol to act as if we were being invaded!'"
1008906632405962752_0_26_28,7,Undocumented Immigrant Communities,spatial motion,invading,country,"The verb 'invading' is used metaphorically to describe the action of people (illegals) entering the country, implying a metaphorical 'takeover' or encroachment rather than a literal military invasion. The source verb 'invade' transcends its original meaning of physical military action to characterize the target noun 'country' in a non-literal, conceptual sense.",'this is all coordinated between mexico and the dimwits/secret govt all of whom want to destroy the AMERICAN WAY by deleting our resources and invading our country with illegals that will affect the voting in America for the benefit of the dems'
988472804587679744_0_3_4,7,Undocumented Immigrant Communities,spatial motion,invaded,USA,"The verb 'invaded' is used metaphorically to describe the action of 37,000 illegal aliens entering the USA. While 'invade' typically refers to a military conquest, here it is applied to non-military, unauthorized entry, transcending its original meaning. The metaphorical aspect lies in using a violent, militaristic verb to characterize a non-physical, social action, implying an exaggerated or symbolic portrayal of the event rather than a literal physical invasion.","'37,000 illegal aliens invaded USA in March 2018.'"
1054578367570173952_0_26_28,7,Undocumented Immigrant Communities,spatial motion,invading,country,"The verb 'invading' is used metaphorically to describe the impact of illegal immigrants on the country, transcending its literal meaning of physical entry by force. It conveys a conceptualization of their presence as an encroaching threat, personifying the target noun 'country' as a territory under attack, rather than describing a direct physical action.",'Dump Ellen until they get rid of their fascist executive producer who declared he was more terrified of one immigrant like Melanie than thousands of illegals invading our country!'
1009139989647675392_0_14_13,7,Undocumented Immigrants,spatial motion,invaded,people,"The verb 'invaded' is used metaphorically to describe the influx of 'people' as an invasion, implying a metaphorical 'invasion' of immigrants rather than a literal physical attack. The context of an 'illegal immigration crisis' frames 'invaded' as a metaphor for mass migration, transcending its literal meaning of military conquest.","'There has been an ""illegal immigration crisis"" in America since white people invaded.'"
988472804587679744_0_3_2,7,Undocumented Immigrants,spatial motion,invaded,aliens,"The verb 'invaded' is used metaphorically to characterize 'aliens' as a forceful, overwhelming entry into the USA. While 'invade' literally refers to military or hostile entry, the context here applies it to human migration, implying a perceived threat or large-scale influx rather than a physical attack. This transcends the verb's original meaning by personifying or metaphorizing the action of immigration as an invasion.","'37,000 illegal aliens invaded USA in March 2018.'"
980810105200488448_0_9_0,8,Anti-Immigration Sentiment,spatial motion,backed,This,"The verb 'backed' is used metaphorically to indicate ideological or financial support for the abstract concept of 'This ""without borders"" migrant invasion.' It transcends its literal meaning of physical support to denote backing a policy or idea, rather than a tangible action.","'This "" without borders"" migrant invasion must be backed by George Soros....to overwhelm and collapse our system.'"
1066813627120971776_0_2_3,8,Border Control and Security,other,SUPPORT,DECISION,"The verb 'SUPPORT' is used metaphorically to describe the abstract concept of 'DECISION.' Literally, 'support' refers to physical assistance or holding up, but here it conveys endorsement or backing of an abstract entity (a decision), which transcends its literal meaning and involves metaphorical extension to represent agreement or advocacy.",'I FULLY SUPPORT  DECISION to close the border if illegal aliens attempt to cross it w/o necessary docs &amp; protocol implemented.'
1025773243721043968_0_12_13,8,Citizens,other,support,ourselves,"The verb 'support' is used metaphorically to describe the abstract action of providing for oneself financially or existentially, rather than a physical act of holding up. It transcends its literal meaning to convey the concept of sustaining oneself through work, which is not a direct physical action.","'Yes we care about fiscal issues, we have to work to support ourselves and half the country.'"
